LGA,State,Country,lon,lat
Abadam,Borno State,Nigeria,13.2648576,13.6181979
Abaji,Federal Capital Territory,Nigeria,6.9450688,8.4746755
Abak,Akwa Ibom State,Nigeria,7.7742702,5.0032857
Abakaliki,Ebonyi State,Nigeria,8.1120116,6.3230608
Aba North,Abia State,Nigeria,7.3678624,5.1268221
Aba South,Abia State,Nigeria,7.3408535,5.0702604
Abeokuta North,Ogun State,Nigeria,3.1378173,7.2114285
Abeokuta South,Ogun State,Nigeria,3.3489671,7.1561368
Abi,Cross River State,Nigeria,8.0247005,5.8622772
Aboh Mbaise,Imo State,Nigeria,7.2333516,5.4501323
Abua/Odual,Rivers State,Nigeria,6.5356449,4.8206803
Abuja Municipal Area Council,Federal Capital Territory,Nigeria,7.4220911,9.0617844
Adavi,Kogi State,Nigeria,6.429036,7.671977
Ado Ekiti,Ekiti State,Nigeria,5.2371087,7.6124263
Ado-Odo/Ota,Ogun State,Nigeria,3.0576199,6.6117188
Afijio,Oyo State,Nigeria,3.8655303,7.724271
Afikpo North,Ebonyi State,Nigeria,7.9374948,5.9053951
Afikpo South (Edda),Ebonyi State,Nigeria,7.8367954,5.7838682
Agaie,Niger State,Nigeria,6.3172906,9.0085126
Agatu,Benue State,Nigeria,7.9157099,7.8412296
Agwara,Niger State,Nigeria,4.479976,10.6778185
Agege,Lagos State,Nigeria,3.3208916,6.6179731
Aguata,Anambra State,Nigeria,7.1009488,6.0085842
Ahiazu Mbaise,Imo State,Nigeria,7.2437105,5.5384547
Ahoada East,Rivers State,Nigeria,6.642433,5.0467637
Ahoada West,Rivers State,Nigeria,6.5356449,5.0685422
Ajaokuta,Kogi State,Nigeria,6.642433,7.5393781
Ajeromi-Ifelodun,Lagos State,Nigeria,3.3338547,6.4554777
Ajingi,Kano State,Nigeria,9.0377612,11.9686426
Akamkpa,Cross River State,Nigeria,8.349917,5.3189793
Akinyele,Oyo State,Nigeria,3.9470396,7.5503161
Akko,Gombe State,Nigeria,11.0259275,10.1186354
Akoko-Edo,Edo State,Nigeria,6.1102943,7.3533315
Akoko North-East,Ondo State,Nigeria,5.8775964,7.550299
Akoko North-West,Ondo State,Nigeria,5.7721204,7.616456
Akoko South-West,Ondo State,Nigeria,5.6668306,7.3806607
Akoko South-East,Ondo State,Nigeria,5.9198387,7.4204353
Akpabuyo,Cross River State,Nigeria,8.5281613,4.8807911
Akuku-Toru,Rivers State,Nigeria,6.663812,4.6137897
Akure North,Ondo State,Nigeria,5.2684437,7.2779136
Akure South,Ondo State,Nigeria,5.1640605,7.2146191
