Indicator,Values,State,LGA,Months,Year
tb5NGUMB9dQ,81.4,Anambra,State level data,Jan,2017
tb5NGUMB9dQ,63.4,Abia,State level data,Jan,2017
tb5NGUMB9dQ,133.2,Adamawa,State level data,Jan,2017
tb5NGUMB9dQ,74.2,Akwa-Ibom,State level data,Jan,2017
tb5NGUMB9dQ,99.3,Bauchi,State level data,Jan,2017
tb5NGUMB9dQ,60.9,Benue,State level data,Jan,2017
tb5NGUMB9dQ,44.2,Borno,State level data,Jan,2017
tb5NGUMB9dQ,22.1,Bayelsa,State level data,Jan,2017
tb5NGUMB9dQ,77.3,Cross River,State level data,Jan,2017
tb5NGUMB9dQ,63.1,Delta,State level data,Jan,2017
tb5NGUMB9dQ,77.6,Ebonyi,State level data,Jan,2017
tb5NGUMB9dQ,39.7,Edo,State level data,Jan,2017
tb5NGUMB9dQ,82.6,Ekiti,State level data,Jan,2017
tb5NGUMB9dQ,32.5,Enugu,State level data,Jan,2017
tb5NGUMB9dQ,134.8,Federal Capital Territory,State level data,Jan,2017
tb5NGUMB9dQ,85.8,Gombe,State level data,Jan,2017
tb5NGUMB9dQ,87.9,Imo,State level data,Jan,2017
tb5NGUMB9dQ,90.9,Jigawa,State level data,Jan,2017
tb5NGUMB9dQ,126.7,Kaduna,State level data,Jan,2017
tb5NGUMB9dQ,58.8,Kebbi,State level data,Jan,2017
tb5NGUMB9dQ,84.5,Kano,State level data,Jan,2017
tb5NGUMB9dQ,108,Kogi,State level data,Jan,2017
tb5NGUMB9dQ,64.9,Katsina,State level data,Jan,2017
tb5NGUMB9dQ,74.3,Kwara,State level data,Jan,2017
tb5NGUMB9dQ,66.3,Lagos,State level data,Jan,2017
tb5NGUMB9dQ,158.1,Nasarawa,State level data,Jan,2017
tb5NGUMB9dQ,80,Federal Government,State level data,Jan,2017
tb5NGUMB9dQ,85.1,Niger,State level data,Jan,2017
tb5NGUMB9dQ,81,Ogun,State level data,Jan,2017
tb5NGUMB9dQ,102.4,Ondo,State level data,Jan,2017
tb5NGUMB9dQ,75.9,Osun,State level data,Jan,2017
tb5NGUMB9dQ,77.4,Oyo,State level data,Jan,2017
tb5NGUMB9dQ,57.2,Plateau,State level data,Jan,2017
tb5NGUMB9dQ,97.8,Rivers,State level data,Jan,2017
tb5NGUMB9dQ,73.9,Sokoto,State level data,Jan,2017
tb5NGUMB9dQ,89.2,Taraba,State level data,Jan,2017
tb5NGUMB9dQ,84.1,Yobe,State level data,Jan,2017
tb5NGUMB9dQ,63,Zamfara,State level data,Jan,2017
tb5NGUMB9dQ,86.1,Anambra,State level data,Feb,2017
tb5NGUMB9dQ,65.4,Abia,State level data,Feb,2017
tb5NGUMB9dQ,108.7,Adamawa,State level data,Feb,2017
tb5NGUMB9dQ,75.5,Akwa-Ibom,State level data,Feb,2017
tb5NGUMB9dQ,101.9,Bauchi,State level data,Feb,2017
tb5NGUMB9dQ,41,Benue,State level data,Feb,2017
tb5NGUMB9dQ,48.1,Borno,State level data,Feb,2017
tb5NGUMB9dQ,22.3,Bayelsa,State level data,Feb,2017
tb5NGUMB9dQ,78.4,Cross River,State level data,Feb,2017
tb5NGUMB9dQ,62.2,Delta,State level data,Feb,2017
tb5NGUMB9dQ,88.4,Ebonyi,State level data,Feb,2017
tb5NGUMB9dQ,31.1,Edo,State level data,Feb,2017
tb5NGUMB9dQ,88.1,Ekiti,State level data,Feb,2017
tb5NGUMB9dQ,36.4,Enugu,State level data,Feb,2017
tb5NGUMB9dQ,116.4,Federal Capital Territory,State level data,Feb,2017
tb5NGUMB9dQ,75.8,Gombe,State level data,Feb,2017
tb5NGUMB9dQ,87.5,Imo,State level data,Feb,2017
tb5NGUMB9dQ,98,Jigawa,State level data,Feb,2017
tb5NGUMB9dQ,120.6,Kaduna,State level data,Feb,2017
tb5NGUMB9dQ,63.9,Kebbi,State level data,Feb,2017
tb5NGUMB9dQ,82.2,Kano,State level data,Feb,2017
tb5NGUMB9dQ,73,Kogi,State level data,Feb,2017
tb5NGUMB9dQ,69.1,Katsina,State level data,Feb,2017
tb5NGUMB9dQ,56.6,Kwara,State level data,Feb,2017
tb5NGUMB9dQ,62.5,Lagos,State level data,Feb,2017
tb5NGUMB9dQ,139.5,Nasarawa,State level data,Feb,2017
tb5NGUMB9dQ,77.7,Federal Government,State level data,Feb,2017
tb5NGUMB9dQ,77.4,Niger,State level data,Feb,2017
tb5NGUMB9dQ,86.9,Ogun,State level data,Feb,2017
tb5NGUMB9dQ,101.8,Ondo,State level data,Feb,2017
tb5NGUMB9dQ,65.2,Osun,State level data,Feb,2017
tb5NGUMB9dQ,75.8,Oyo,State level data,Feb,2017
