Indicator,Year,Values,State,LGA,Months
Measles 2 Dose Coverage (Annualized),2019,23.6,Abia,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.01,Adamawa,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,13,Akwa-Ibom,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,16.1,Anambra,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.23,Bauchi,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.8,Benue,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.14,Borno,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,10.5,Bayelsa,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,19.7,Cross River,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,17.6,Delta,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,38.1,Ebonyi,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,13.1,Edo,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,10.3,Ekiti,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,14.9,Enugu,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,4.8,Federal Capital Territory,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,5,Gombe,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,24.4,Imo,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.35,Jigawa,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.17,Kaduna,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.54,Kebbi,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.09,Kano,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,1.4,Kogi,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.08,Katsina,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,1,Kwara,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,12.8,Lagos,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,5.5,Nasarawa,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,9.2,Federal Government,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,1.9,Niger,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,12.6,Ogun,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,17.8,Ondo,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,17.9,Osun,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,30.4,Oyo,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.67,Plateau,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,28.3,Rivers,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.1,Sokoto,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.19,Taraba,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,0.83,Yobe,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,1.2,Zamfara,State level data,NA
Measles 2 Dose Coverage (Annualized),2019,38,Abia,Aba North,NA
Measles 2 Dose Coverage (Annualized),2019,21.5,Abia,Aba South,NA
Measles 2 Dose Coverage (Annualized),2019,17.7,Abia,Arochukwu,NA
Measles 2 Dose Coverage (Annualized),2019,19.8,Abia,Bende,NA
Measles 2 Dose Coverage (Annualized),2019,13.8,Abia,Ikwuano,NA
Measles 2 Dose Coverage (Annualized),2019,31.2,Abia,Isiala-Ngwa North,NA
Measles 2 Dose Coverage (Annualized),2019,22.9,Abia,Isiala-Ngwa South,NA
Measles 2 Dose Coverage (Annualized),2019,33.8,Abia,Isuikwuato,NA
Measles 2 Dose Coverage (Annualized),2019,23.7,Abia,Obi Nwga,NA
Measles 2 Dose Coverage (Annualized),2019,15.4,Abia,Ohafia,NA
Measles 2 Dose Coverage (Annualized),2019,16.8,Abia,Osisioma Ngwa,NA
Measles 2 Dose Coverage (Annualized),2019,21.8,Abia,Ugwunagbo,NA
Measles 2 Dose Coverage (Annualized),2019,39.8,Abia,Ukwa East,NA
Measles 2 Dose Coverage (Annualized),2019,29.9,Abia,Ukwa West,NA
Measles 2 Dose Coverage (Annualized),2019,43.1,Abia,Umuahia North,NA
Measles 2 Dose Coverage (Annualized),2019,22,Abia,Umuahia South,NA
Measles 2 Dose Coverage (Annualized),2019,13.2,Abia,Umunneochi,NA
Measles 2 Dose Coverage (Annualized),2019,0.08,Adamawa,Hong,NA
Measles 2 Dose Coverage (Annualized),2019,0.29,Adamawa,Numan,NA
Measles 2 Dose Coverage (Annualized),2019,13,Akwa-Ibom,Abak,NA
Measles 2 Dose Coverage (Annualized),2019,12.4,Akwa-Ibom,Eastern Obolo,NA
Measles 2 Dose Coverage (Annualized),2019,5.5,Akwa-Ibom,Eket,NA
Measles 2 Dose Coverage (Annualized),2019,34.1,Akwa-Ibom,Esit Eket,NA
Measles 2 Dose Coverage (Annualized),2019,13.8,Akwa-Ibom,Essien Udim,NA
Measles 2 Dose Coverage (Annualized),2019,9,Akwa-Ibom,Etim Ekpo,NA
