Indicator,Values,State,LGA,Months,Year
Measles 2 Dose Coverage (Monthly),0.24,Anambra,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.68,Abia,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.53,Akwa-Ibom,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.86,Benue,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.07,Bayelsa,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.03,Cross River,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),3.7,Delta,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.65,Edo,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.56,Ekiti,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.78,Enugu,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),11.9,Federal Capital Territory,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),2.8,Gombe,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.34,Imo,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.96,Jigawa,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.14,Kaduna,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.48,Kebbi,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),1.5,Kogi,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.1,Katsina,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.76,Kwara,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.06,Lagos,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),1.9,Nasarawa,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.79,Federal Government,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.96,Niger,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.06,Ogun,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),2.1,Osun,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.23,Oyo,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.37,Plateau,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.76,Rivers,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.19,Sokoto,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),1.7,Yobe,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),4.8,Zamfara,State level data,Jan,2019
Measles 2 Dose Coverage (Monthly),0.47,Anambra,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.6,Abia,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),3.8,Akwa-Ibom,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.76,Bauchi,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.9,Benue,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),3,Delta,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.36,Edo,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.19,Ekiti,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.31,Enugu,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),4.3,Federal Capital Territory,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),5.2,Gombe,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.21,Imo,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.27,Jigawa,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.19,Kaduna,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.39,Kebbi,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.03,Kano,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.37,Kogi,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.2,Katsina,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.12,Kwara,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.72,Lagos,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),51.6,Nasarawa,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),1.5,Federal Government,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),1.1,Niger,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.13,Ogun,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),1.8,Osun,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.41,Plateau,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.84,Rivers,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.16,Sokoto,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),0.06,Taraba,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),2.4,Yobe,State level data,Feb,2019
Measles 2 Dose Coverage (Monthly),6.5,Zamfara,State level data,Feb,2019
