Indicator,Values,State,LGA,Months,Year
Measles 2 given,118,Plateau,State level data,Nov,2019
Measles 2 given,265,Plateau,State level data,Dec,2019
Measles 2 given,110,Plateau,State level data,Oct,2019
Measles 2 given,357,Benue,State level data,Sep,2019
Measles 2 given,69,Ogun,State level data,Jul,2019
Measles 2 given,92,Ogun,State level data,Jun,2019
Measles 2 given,41,Benue,State level data,Jul,2019
Measles 2 given,20,Ogun,State level data,Sep,2019
Measles 2 given,233,Benue,State level data,Aug,2019
Measles 2 given,125,Ogun,State level data,Aug,2019
Measles 2 given,112,Benue,State level data,May,2019
Measles 2 given,59,Ogun,State level data,Mar,2019
Measles 2 given,112,Benue,State level data,Jun,2019
Measles 2 given,25,Ogun,State level data,Feb,2019
Measles 2 given,123,Benue,State level data,Mar,2019
Measles 2 given,142,Benue,State level data,Apr,2019
Measles 2 given,18,Ogun,State level data,Apr,2019
Measles 2 given,178,Benue,State level data,Jan,2019
Measles 2 given,186,Benue,State level data,Feb,2019
Measles 2 given,12,Ogun,State level data,Jan,2019
Measles 2 given,11646,Ogun,State level data,Dec,2019
Measles 2 given,16677,Ogun,State level data,Nov,2019
Measles 2 given,56,Plateau,State level data,Jan,2019
Measles 2 given,62,Plateau,State level data,Feb,2019
Measles 2 given,96,Plateau,State level data,Mar,2019
Measles 2 given,238,Plateau,State level data,Aug,2019
Measles 2 given,79,Plateau,State level data,Sep,2019
Measles 2 given,65,Plateau,State level data,Apr,2019
Measles 2 given,62,Plateau,State level data,May,2019
Measles 2 given,22,Plateau,State level data,Jun,2019
Measles 2 given,30,Plateau,State level data,Jul,2019
Measles 2 given,110,Benue,State level data,Dec,2019
Measles 2 given,278,Benue,State level data,Oct,2019
Measles 2 given,112,Benue,State level data,Nov,2019
Measles 2 given,6652,Federal Government,State level data,Oct,2019
Measles 2 given,80358,Federal Government,State level data,Dec,2019
Measles 2 given,634537,Federal Government,State level data,Nov,2019
Measles 2 given,3880,Federal Government,State level data,Jul,2019
Measles 2 given,4318,Federal Government,State level data,Jun,2019
Measles 2 given,6359,Federal Government,State level data,Sep,2019
Measles 2 given,5116,Federal Government,State level data,Aug,2019
Measles 2 given,4620,Federal Government,State level data,Mar,2019
Measles 2 given,10577,Federal Government,State level data,Feb,2019
Measles 2 given,4087,Federal Government,State level data,May,2019
Measles 2 given,4687,Federal Government,State level data,Apr,2019
Measles 2 given,5507,Federal Government,State level data,Jan,2019
Measles 2 given,4,Cross River,State level data,Jan,2019
Measles 2 given,10,Cross River,State level data,Apr,2019
Measles 2 given,56,Cross River,State level data,Aug,2019
Measles 2 given,30,Cross River,State level data,Sep,2019
Measles 2 given,125,Cross River,State level data,Oct,2019
Measles 2 given,28776,Cross River,State level data,Nov,2019
Measles 2 given,3980,Cross River,State level data,Dec,2019
Measles 2 given,117,Kano,State level data,Oct,2019
Measles 2 given,172,Kano,State level data,Dec,2019
Measles 2 given,132,Kano,State level data,Nov,2019
Measles 2 given,16,Kano,State level data,Feb,2019
Measles 2 given,31,Kano,State level data,Jun,2019
Measles 2 given,51,Kano,State level data,Sep,2019
Measles 2 given,18,Kano,State level data,Aug,2019
Measles 2 given,143,Edo,State level data,Mar,2019
Measles 2 given,55,Edo,State level data,Feb,2019
Measles 2 given,99,Edo,State level data,Jan,2019
Measles 2 given,689,Gombe,State level data,Aug,2019
Measles 2 given,59,Ekiti,State level data,Mar,2019
Measles 2 given,23,Ekiti,State level data,Feb,2019
Measles 2 given,421,Gombe,State level data,Jul,2019
Measles 2 given,66,Ekiti,State level data,Jan,2019
Measles 2 given,587,Gombe,State level data,Jun,2019
Measles 2 given,616,Gombe,State level data,May,2019
Measles 2 given,132,Ekiti,State level data,Jul,2019
Measles 2 given,511,Gombe,State level data,Apr,2019
Measles 2 given,842,Gombe,State level data,Mar,2019
Measles 2 given,50,Ekiti,State level data,Jun,2019
Measles 2 given,67,Ekiti,State level data,May,2019
Measles 2 given,610,Gombe,State level data,Feb,2019
Measles 2 given,36,Ekiti,State level data,Apr,2019
Measles 2 given,330,Gombe,State level data,Jan,2019
Measles 2 given,427,Gombe,State level data,Nov,2019
Measles 2 given,713,Gombe,State level data,Oct,2019
Measles 2 given,80,Ekiti,State level data,Oct,2019
Measles 2 given,1339,Ekiti,State level data,Dec,2019
Measles 2 given,12733,Ekiti,State level data,Nov,2019
Measles 2 given,153,Nasarawa,State level data,Sep,2019
Measles 2 given,86,Nasarawa,State level data,Aug,2019
Measles 2 given,47,Nasarawa,State level data,Jul,2019
Measles 2 given,100,Nasarawa,State level data,Jun,2019
Measles 2 given,508,Gombe,State level data,Dec,2019
Measles 2 given,142,Nasarawa,State level data,May,2019
Measles 2 given,73,Ekiti,State level data,Sep,2019
Measles 2 given,84,Nasarawa,State level data,Dec,2019
Measles 2 given,231,Nasarawa,State level data,Nov,2019
Measles 2 given,148,Nasarawa,State level data,Oct,2019
Measles 2 given,859,Gombe,State level data,Sep,2019
Measles 2 given,99,Nasarawa,State level data,Apr,2019
Measles 2 given,86,Nasarawa,State level data,Mar,2019
Measles 2 given,4709,Nasarawa,State level data,Feb,2019
Measles 2 given,175,Nasarawa,State level data,Jan,2019
Measles 2 given,27,Kaduna,State level data,Dec,2019
Measles 2 given,21,Kaduna,State level data,Oct,2019
Measles 2 given,381,Kaduna,State level data,Nov,2019
Measles 2 given,23,Kaduna,State level data,Sep,2019
Measles 2 given,41,Kaduna,State level data,Jan,2019
Measles 2 given,55,Kaduna,State level data,Feb,2019
Measles 2 given,25,Kaduna,State level data,Jul,2019
Measles 2 given,5,Kaduna,State level data,Aug,2019
Measles 2 given,3,Kaduna,State level data,May,2019
Measles 2 given,18,Kaduna,State level data,Jun,2019
Measles 2 given,243,Imo,State level data,Apr,2019
Measles 2 given,149,Imo,State level data,Mar,2019
Measles 2 given,41,Imo,State level data,Feb,2019
Measles 2 given,68,Imo,State level data,Jan,2019
Measles 2 given,297,Edo,State level data,Sep,2019
Measles 2 given,299,Imo,State level data,Sep,2019
Measles 2 given,50,Edo,State level data,Aug,2019
Measles 2 given,160,Edo,State level data,Jul,2019
Measles 2 given,132,Imo,State level data,Jul,2019
