Indicator,Values,State,LGA,Months,Year
051. Measles Vaccine -  Opening Balance,670,Delta,State level data,May,2017
051. Measles Vaccine -  Opening Balance,690,Delta,State level data,Apr,2017
051. Measles Vaccine -  Opening Balance,830,Delta,State level data,Jul,2017
051. Measles Vaccine -  Opening Balance,520,Delta,State level data,Jun,2017
051. Measles Vaccine -  Opening Balance,750,Delta,State level data,Sep,2017
051. Measles Vaccine -  Opening Balance,652,Delta,State level data,Aug,2017
051. Measles Vaccine -  Opening Balance,830,Delta,State level data,Jan,2017
051. Measles Vaccine -  Opening Balance,970,Delta,State level data,Mar,2017
051. Measles Vaccine -  Opening Balance,820,Delta,State level data,Feb,2017
051. Measles Vaccine -  Opening Balance,600,Sokoto,State level data,Jan,2017
051. Measles Vaccine -  Opening Balance,390,Sokoto,State level data,Dec,2017
051. Measles Vaccine -  Opening Balance,320,Sokoto,State level data,Nov,2017
051. Measles Vaccine -  Opening Balance,1340,Sokoto,State level data,Oct,2017
051. Measles Vaccine -  Opening Balance,110,Sokoto,State level data,May,2017
051. Measles Vaccine -  Opening Balance,120,Sokoto,State level data,Apr,2017
051. Measles Vaccine -  Opening Balance,110,Sokoto,State level data,Mar,2017
051. Measles Vaccine -  Opening Balance,70,Sokoto,State level data,Feb,2017
051. Measles Vaccine -  Opening Balance,250,Sokoto,State level data,Sep,2017
051. Measles Vaccine -  Opening Balance,1330,Sokoto,State level data,Aug,2017
051. Measles Vaccine -  Opening Balance,110,Sokoto,State level data,Jul,2017
051. Measles Vaccine -  Opening Balance,200,Sokoto,State level data,Jun,2017
051. Measles Vaccine -  Opening Balance,400,Kaduna,State level data,Dec,2017
051. Measles Vaccine -  Opening Balance,240,Kaduna,State level data,Nov,2017
051. Measles Vaccine -  Opening Balance,240,Kaduna,State level data,Oct,2017
051. Measles Vaccine -  Opening Balance,292,Nasarawa,State level data,Nov,2017
051. Measles Vaccine -  Opening Balance,290,Nasarawa,State level data,Dec,2017
051. Measles Vaccine -  Opening Balance,70,Nasarawa,State level data,Oct,2017
051. Measles Vaccine -  Opening Balance,591,Nasarawa,State level data,Aug,2017
051. Measles Vaccine -  Opening Balance,1470,Nasarawa,State level data,Sep,2017
051. Measles Vaccine -  Opening Balance,150,Nasarawa,State level data,Feb,2017
051. Measles Vaccine -  Opening Balance,310,Nasarawa,State level data,Mar,2017
051. Measles Vaccine -  Opening Balance,180,Nasarawa,State level data,Jan,2017
051. Measles Vaccine -  Opening Balance,111,Nasarawa,State level data,Jun,2017
051. Measles Vaccine -  Opening Balance,270,Nasarawa,State level data,Jul,2017
051. Measles Vaccine -  Opening Balance,91,Nasarawa,State level data,Apr,2017
051. Measles Vaccine -  Opening Balance,161,Nasarawa,State level data,May,2017
051. Measles Vaccine -  Opening Balance,920,Kaduna,State level data,Jan,2017
051. Measles Vaccine -  Opening Balance,1130,Kaduna,State level data,Mar,2017
051. Measles Vaccine -  Opening Balance,650,Kaduna,State level data,Feb,2017
051. Measles Vaccine -  Opening Balance,170,Kaduna,State level data,Sep,2017
051. Measles Vaccine -  Opening Balance,30,Kaduna,State level data,Aug,2017
051. Measles Vaccine -  Opening Balance,1920,Kaduna,State level data,May,2017
051. Measles Vaccine -  Opening Balance,730,Kaduna,State level data,Apr,2017
051. Measles Vaccine -  Opening Balance,1680,Kaduna,State level data,Jul,2017
051. Measles Vaccine -  Opening Balance,970,Kaduna,State level data,Jun,2017
051. Measles Vaccine -  Opening Balance,950,Katsina,State level data,Dec,2017
051. Measles Vaccine -  Opening Balance,1110,Katsina,State level data,Oct,2017
051. Measles Vaccine -  Opening Balance,330,Katsina,State level data,Nov,2017
051. Measles Vaccine -  Opening Balance,10,Katsina,State level data,Jun,2017
051. Measles Vaccine -  Opening Balance,898,Katsina,State level data,Sep,2017
051. Measles Vaccine -  Opening Balance,430,Katsina,State level data,Aug,2017
051. Measles Vaccine -  Opening Balance,40,Katsina,State level data,Jan,2017
051. Measles Vaccine -  Opening Balance,450,Katsina,State level data,Feb,2017
051. Measles Vaccine -  Opening Balance,920,Delta,State level data,Oct,2017
051. Measles Vaccine -  Opening Balance,610,Delta,State level data,Dec,2017
051. Measles Vaccine -  Opening Balance,550,Delta,State level data,Nov,2017
051. Measles Vaccine -  Opening Balance,720,Anambra,State level data,Sep,2017
051. Measles Vaccine -  Opening Balance,460,Anambra,State level data,Jan,2017
051. Measles Vaccine -  Opening Balance,520,Anambra,State level data,Feb,2017
051. Measles Vaccine -  Opening Balance,662,Anambra,State level data,Mar,2017
051. Measles Vaccine -  Opening Balance,360,Anambra,State level data,Apr,2017
051. Measles Vaccine -  Opening Balance,794,Anambra,State level data,May,2017
051. Measles Vaccine -  Opening Balance,1430,Anambra,State level data,Jun,2017
051. Measles Vaccine -  Opening Balance,1590,Anambra,State level data,Jul,2017
051. Measles Vaccine -  Opening Balance,730,Anambra,State level data,Aug,2017
051. Measles Vaccine -  Opening Balance,310,Anambra,State level data,Oct,2017
051. Measles Vaccine -  Opening Balance,470,Anambra,State level data,Nov,2017
051. Measles Vaccine -  Opening Balance,220,Anambra,State level data,Dec,2017
051. Measles Vaccine -  Opening Balance,6620,Kano,State level data,Dec,2017
051. Measles Vaccine -  Opening Balance,7486,Kano,State level data,Nov,2017
051. Measles Vaccine -  Opening Balance,9060,Kano,State level data,Oct,2017
051. Measles Vaccine -  Opening Balance,11551,Kano,State level data,Feb,2017
051. Measles Vaccine -  Opening Balance,10400,Kano,State level data,Jan,2017
051. Measles Vaccine -  Opening Balance,9050,Kano,State level data,Apr,2017
051. Measles Vaccine -  Opening Balance,11400,Kano,State level data,Mar,2017
051. Measles Vaccine -  Opening Balance,6630,Kano,State level data,Sep,2017
