Indicator,Values,State,LGA,Months,Year
053. Measles Vaccine - Doses Opened,70,Gombe,State level data,Mar,2017
053. Measles Vaccine - Doses Opened,16370,Delta,State level data,Nov,2017
053. Measles Vaccine - Doses Opened,50,Kebbi,State level data,Apr,2017
053. Measles Vaccine - Doses Opened,17880,Akwa-Ibom,State level data,Oct,2017
053. Measles Vaccine - Doses Opened,22540,Akwa-Ibom,State level data,Jul,2017
053. Measles Vaccine - Doses Opened,45860,Kaduna,State level data,May,2017
053. Measles Vaccine - Doses Opened,19590,Delta,State level data,Aug,2017
053. Measles Vaccine - Doses Opened,19448,Imo,State level data,Apr,2017
053. Measles Vaccine - Doses Opened,11207,Enugu,State level data,Aug,2017
053. Measles Vaccine - Doses Opened,10381,Enugu,State level data,Nov,2017
053. Measles Vaccine - Doses Opened,2820,Bayelsa,State level data,Jun,2017
053. Measles Vaccine - Doses Opened,9510,Ekiti,State level data,Apr,2017
053. Measles Vaccine - Doses Opened,11932,Kwara,State level data,Feb,2017
053. Measles Vaccine - Doses Opened,15410,Kogi,State level data,Feb,2017
053. Measles Vaccine - Doses Opened,130,Katsina,State level data,May,2017
053. Measles Vaccine - Doses Opened,13680,Taraba,State level data,Sep,2017
053. Measles Vaccine - Doses Opened,14710,Taraba,State level data,Jan,2017
053. Measles Vaccine - Doses Opened,11226,Federal Capital Territory,State level data,May,2017
053. Measles Vaccine - Doses Opened,23670,Borno,State level data,Sep,2017
053. Measles Vaccine - Doses Opened,9809,Cross River,State level data,Mar,2017
053. Measles Vaccine - Doses Opened,50,Yobe,State level data,Jun,2017
053. Measles Vaccine - Doses Opened,10424,Benue,State level data,May,2017
053. Measles Vaccine - Doses Opened,17510,Benue,State level data,Nov,2017
053. Measles Vaccine - Doses Opened,15610,Cross River,State level data,Nov,2017
053. Measles Vaccine - Doses Opened,70094,Kano,State level data,Oct,2017
053. Measles Vaccine - Doses Opened,25750,Niger,State level data,Apr,2017
053. Measles Vaccine - Doses Opened,31681,Niger,State level data,Jul,2017
053. Measles Vaccine - Doses Opened,9630,Taraba,State level data,Dec,2017
053. Measles Vaccine - Doses Opened,22836,Sokoto,State level data,Sep,2017
053. Measles Vaccine - Doses Opened,15922,Nasarawa,State level data,Nov,2017
053. Measles Vaccine - Doses Opened,7632,Edo,State level data,Feb,2017
053. Measles Vaccine - Doses Opened,24902,Rivers,State level data,Nov,2017
053. Measles Vaccine - Doses Opened,13020,Ebonyi,State level data,Oct,2017
053. Measles Vaccine - Doses Opened,15460,Osun,State level data,Aug,2017
053. Measles Vaccine - Doses Opened,16433,Osun,State level data,May,2017
053. Measles Vaccine - Doses Opened,18202,Plateau,State level data,Sep,2017
053. Measles Vaccine - Doses Opened,37715,Bauchi,State level data,Mar,2017
053. Measles Vaccine - Doses Opened,10733,Edo,State level data,May,2017
053. Measles Vaccine - Doses Opened,16389,Ogun,State level data,Feb,2017
053. Measles Vaccine - Doses Opened,7233,Bayelsa,State level data,Mar,2017
053. Measles Vaccine - Doses Opened,14188,Ogun,State level data,May,2017
053. Measles Vaccine - Doses Opened,14394,Zamfara,State level data,Oct,2017
053. Measles Vaccine - Doses Opened,636238,Federal Government,State level data,Jun,2017
053. Measles Vaccine - Doses Opened,22024,Nasarawa,State level data,Mar,2017
053. Measles Vaccine - Doses Opened,17585,Kebbi,State level data,Oct,2017
053. Measles Vaccine - Doses Opened,32580,Lagos,State level data,Sep,2017
053. Measles Vaccine - Doses Opened,23380,Sokoto,State level data,Jun,2017
053. Measles Vaccine - Doses Opened,19290,Ondo,State level data,Aug,2017
053. Measles Vaccine - Doses Opened,11406,Gombe,State level data,Aug,2017
053. Measles Vaccine - Doses Opened,15141,Gombe,State level data,Jun,2017
053. Measles Vaccine - Doses Opened,10812,Gombe,State level data,Nov,2017
053. Measles Vaccine - Doses Opened,150,Kebbi,State level data,Jan,2017
053. Measles Vaccine - Doses Opened,16912,Kebbi,State level data,Jul,2017
