Indicator,Values,State,LGA,Months,Year
052. Measles Vaccine - Received,29430,Oyo,State level data,Sep,2017
052. Measles Vaccine - Received,24650,Oyo,State level data,Dec,2017
052. Measles Vaccine - Received,27790,Oyo,State level data,Jan,2017
052. Measles Vaccine - Received,16231,Osun,State level data,Apr,2017
052. Measles Vaccine - Received,10986,Edo,State level data,Dec,2017
052. Measles Vaccine - Received,575740,Federal Government,State level data,Feb,2017
052. Measles Vaccine - Received,9894,Edo,State level data,Sep,2017
052. Measles Vaccine - Received,470,Edo,State level data,Jan,2017
052. Measles Vaccine - Received,16590,Delta,State level data,Apr,2017
052. Measles Vaccine - Received,24516,Akwa-Ibom,State level data,Mar,2017
052. Measles Vaccine - Received,260,Yobe,State level data,Feb,2017
052. Measles Vaccine - Received,31499,Jigawa,State level data,Sep,2017
052. Measles Vaccine - Received,29675,Niger,State level data,Mar,2017
052. Measles Vaccine - Received,490,Jigawa,State level data,Jan,2017
052. Measles Vaccine - Received,13202,Gombe,State level data,Oct,2017
052. Measles Vaccine - Received,9080,Ebonyi,State level data,Mar,2017
052. Measles Vaccine - Received,13900,Cross River,State level data,Oct,2017
052. Measles Vaccine - Received,10190,Benue,State level data,Apr,2017
052. Measles Vaccine - Received,18050,Borno,State level data,Nov,2017
052. Measles Vaccine - Received,15170,Taraba,State level data,May,2017
052. Measles Vaccine - Received,91620,Kano,State level data,Mar,2017
052. Measles Vaccine - Received,15752,Gombe,State level data,Jul,2017
052. Measles Vaccine - Received,11673,Cross River,State level data,Jul,2017
052. Measles Vaccine - Received,34732,Borno,State level data,Aug,2017
052. Measles Vaccine - Received,15648,Adamawa,State level data,Dec,2017
052. Measles Vaccine - Received,7770,Federal Capital Territory,State level data,Apr,2017
052. Measles Vaccine - Received,23213,Jigawa,State level data,Dec,2017
052. Measles Vaccine - Received,17164,Kogi,State level data,Sep,2017
052. Measles Vaccine - Received,11775,Enugu,State level data,Oct,2017
052. Measles Vaccine - Received,17992,Plateau,State level data,May,2017
052. Measles Vaccine - Received,19780,Plateau,State level data,Aug,2017
052. Measles Vaccine - Received,39352,Bauchi,State level data,Feb,2017
052. Measles Vaccine - Received,11940,Kwara,State level data,Dec,2017
052. Measles Vaccine - Received,23070,Anambra,State level data,Sep,2017
052. Measles Vaccine - Received,18890,Ogun,State level data,Jan,2017
052. Measles Vaccine - Received,19418,Adamawa,State level data,Sep,2017
052. Measles Vaccine - Received,12310,Federal Capital Territory,State level data,Jan,2017
052. Measles Vaccine - Received,12790,Federal Capital Territory,State level data,Dec,2017
052. Measles Vaccine - Received,15020,Katsina,State level data,Dec,2017
052. Measles Vaccine - Received,12349,Ekiti,State level data,Mar,2017
052. Measles Vaccine - Received,24800,Imo,State level data,Mar,2017
052. Measles Vaccine - Received,19580,Ogun,State level data,Dec,2017
052. Measles Vaccine - Received,347,Katsina,State level data,Jan,2017
052. Measles Vaccine - Received,18875,Kebbi,State level data,Aug,2017
052. Measles Vaccine - Received,17209,Nasarawa,State level data,Oct,2017
052. Measles Vaccine - Received,13222,Kwara,State level data,Jan,2017
052. Measles Vaccine - Received,14214,Kogi,State level data,Jun,2017
052. Measles Vaccine - Received,21514,Anambra,State level data,Jun,2017
052. Measles Vaccine - Received,730,Gombe,State level data,Feb,2017
052. Measles Vaccine - Received,19870,Delta,State level data,Jul,2017
052. Measles Vaccine - Received,17217,Ondo,State level data,Apr,2017
052. Measles Vaccine - Received,19890,Ondo,State level data,Jul,2017
052. Measles Vaccine - Received,27841,Sokoto,State level data,Feb,2017
052. Measles Vaccine - Received,29733,Lagos,State level data,May,2017
052. Measles Vaccine - Received,704842,Federal Government,State level data,May,2017
052. Measles Vaccine - Received,2816,Bayelsa,State level data,Feb,2017
052. Measles Vaccine - Received,24000,Rivers,State level data,Sep,2017
052. Measles Vaccine - Received,46960,Kaduna,State level data,Sep,2017
052. Measles Vaccine - Received,11590,Ekiti,State level data,Nov,2017
052. Measles Vaccine - Received,30738,Bauchi,State level data,Oct,2017
052. Measles Vaccine - Received,39953,Lagos,State level data,Aug,2017
052. Measles Vaccine - Received,26429,Sokoto,State level data,May,2017
052. Measles Vaccine - Received,20540,Imo,State level data,Nov,2017
052. Measles Vaccine - Received,24740,Oyo,State level data,Apr,2017
052. Measles Vaccine - Received,17120,Osun,State level data,Jul,2017
052. Measles Vaccine - Received,8668,Edo,State level data,Jun,2017
052. Measles Vaccine - Received,19292,Osun,State level data,Oct,2017
052. Measles Vaccine - Received,8482,Edo,State level data,Apr,2017
052. Measles Vaccine - Received,9017,Bayelsa,State level data,May,2017
052. Measles Vaccine - Received,8340,Yobe,State level data,Oct,2017
052. Measles Vaccine - Received,14650,Yobe,State level data,Jul,2017
052. Measles Vaccine - Received,16490,Benue,State level data,Dec,2017
052. Measles Vaccine - Received,11882,Abia,State level data,Jul,2017
052. Measles Vaccine - Received,19400,Akwa-Ibom,State level data,Jun,2017
052. Measles Vaccine - Received,77073,Kano,State level data,Nov,2017
052. Measles Vaccine - Received,19790,Akwa-Ibom,State level data,Nov,2017
052. Measles Vaccine - Received,79359,Kano,State level data,Jun,2017
052. Measles Vaccine - Received,23351,Benue,State level data,Jul,2017
052. Measles Vaccine - Received,21452,Benue,State level data,Jan,2017
052. Measles Vaccine - Received,15950,Taraba,State level data,Nov,2017
052. Measles Vaccine - Received,13227,Kebbi,State level data,May,2017
052. Measles Vaccine - Received,17935,Ogun,State level data,Mar,2017
052. Measles Vaccine - Received,24685,Adamawa,State level data,Jun,2017
052. Measles Vaccine - Received,12644,Ebonyi,State level data,Nov,2017
052. Measles Vaccine - Received,19820,Benue,State level data,Oct,2017
052. Measles Vaccine - Received,15533,Kogi,State level data,Dec,2017
052. Measles Vaccine - Received,7914,Enugu,State level data,Dec,2017
052. Measles Vaccine - Received,17585,Anambra,State level data,Jan,2017
052. Measles Vaccine - Received,18523,Plateau,State level data,Mar,2017
052. Measles Vaccine - Received,22061,Rivers,State level data,Apr,2017
052. Measles Vaccine - Received,23560,Imo,State level data,May,2017
052. Measles Vaccine - Received,18440,Plateau,State level data,Nov,2017
052. Measles Vaccine - Received,12015,Enugu,State level data,Apr,2017
052. Measles Vaccine - Received,18137,Anambra,State level data,Dec,2017
052. Measles Vaccine - Received,13310,Kwara,State level data,Jun,2017
052. Measles Vaccine - Received,14934,Federal Capital Territory,State level data,Sep,2017
052. Measles Vaccine - Received,40,Katsina,State level data,Jun,2017
052. Measles Vaccine - Received,22462,Kogi,State level data,Jan,2017
052. Measles Vaccine - Received,19380,Nasarawa,State level data,Jul,2017
052. Measles Vaccine - Received,19125,Nasarawa,State level data,Apr,2017
052. Measles Vaccine - Received,7379,Katsina,State level data,Sep,2017
052. Measles Vaccine - Received,15800,Ogun,State level data,Jun,2017
052. Measles Vaccine - Received,17404,Ogun,State level data,Sep,2017
052. Measles Vaccine - Received,13074,Kwara,State level data,Sep,2017
052. Measles Vaccine - Received,58312,Kaduna,State level data,Jul,2017
052. Measles Vaccine - Received,10840,Federal Capital Territory,State level data,Jun,2017
052. Measles Vaccine - Received,31140,Rivers,State level data,Jul,2017
052. Measles Vaccine - Received,12553,Enugu,State level data,Jul,2017
052. Measles Vaccine - Received,30020,Sokoto,State level data,Jul,2017
052. Measles Vaccine - Received,17383,Delta,State level data,Feb,2017
052. Measles Vaccine - Received,18240,Delta,State level data,Oct,2017
