Indicator,Values,State,LGA,Months,Year
Measles new cases < 5 years,125,Borno,State level data,Nov,2017
Measles new cases < 5 years,80,Taraba,State level data,May,2017
Measles new cases < 5 years,48,Taraba,State level data,Jan,2017
Measles new cases < 5 years,134,Taraba,State level data,Dec,2017
Measles new cases < 5 years,8,Benue,State level data,Nov,2017
Measles new cases < 5 years,608,Borno,State level data,Apr,2017
Measles new cases < 5 years,15,Cross River,State level data,Mar,2017
Measles new cases < 5 years,9,Cross River,State level data,Jul,2017
Measles new cases < 5 years,349,Borno,State level data,Aug,2017
Measles new cases < 5 years,54,Lagos,State level data,Apr,2017
Measles new cases < 5 years,117,Jigawa,State level data,Dec,2017
Measles new cases < 5 years,119,Niger,State level data,Oct,2017
Measles new cases < 5 years,71,Lagos,State level data,Aug,2017
Measles new cases < 5 years,41,Abia,State level data,Feb,2017
Measles new cases < 5 years,60,Abia,State level data,Jun,2017
Measles new cases < 5 years,290,Kano,State level data,Oct,2017
Measles new cases < 5 years,95,Jigawa,State level data,Sep,2017
Measles new cases < 5 years,121,Taraba,State level data,Sep,2017
Measles new cases < 5 years,308,Jigawa,State level data,May,2017
Measles new cases < 5 years,10,Cross River,State level data,Oct,2017
Measles new cases < 5 years,202,Jigawa,State level data,Jan,2017
Measles new cases < 5 years,39,Ebonyi,State level data,Mar,2017
Measles new cases < 5 years,35,Ebonyi,State level data,Jul,2017
Measles new cases < 5 years,317,Kano,State level data,Jul,2017
Measles new cases < 5 years,640,Kano,State level data,Mar,2017
Measles new cases < 5 years,7,Ebonyi,State level data,Oct,2017
Measles new cases < 5 years,35,Edo,State level data,Jan,2017
Measles new cases < 5 years,120,Nasarawa,State level data,Oct,2017
Measles new cases < 5 years,21,Edo,State level data,Sep,2017
Measles new cases < 5 years,25,Edo,State level data,May,2017
Measles new cases < 5 years,69,Oyo,State level data,Dec,2017
Measles new cases < 5 years,237,Niger,State level data,Mar,2017
Measles new cases < 5 years,159,Niger,State level data,Jul,2017
Measles new cases < 5 years,12,Edo,State level data,Dec,2017
Measles new cases < 5 years,590,Bauchi,State level data,Feb,2017
Measles new cases < 5 years,14,Rivers,State level data,Apr,2017
Measles new cases < 5 years,21,Federal Capital Territory,State level data,Aug,2017
Measles new cases < 5 years,54,Plateau,State level data,Nov,2017
Measles new cases < 5 years,188,Katsina,State level data,Aug,2017
Measles new cases < 5 years,36,Anambra,State level data,Dec,2017
Measles new cases < 5 years,207,Adamawa,State level data,May,2017
Measles new cases < 5 years,11,Bayelsa,State level data,Feb,2017
Measles new cases < 5 years,49,Anambra,State level data,Sep,2017
Measles new cases < 5 years,98,Nasarawa,State level data,Jul,2017
Measles new cases < 5 years,43,Oyo,State level data,Sep,2017
Measles new cases < 5 years,332,Oyo,State level data,Jan,2017
Measles new cases < 5 years,325,Katsina,State level data,Nov,2017
Measles new cases < 5 years,16,Osun,State level data,Apr,2017
Measles new cases < 5 years,5175,Federal Government,State level data,Feb,2017
Measles new cases < 5 years,838,Sokoto,State level data,May,2017
Measles new cases < 5 years,47,Kogi,State level data,May,2017
Measles new cases < 5 years,18,Ogun,State level data,Jan,2017
Measles new cases < 5 years,24,Ondo,State level data,Oct,2017
Measles new cases < 5 years,91,Lagos,State level data,Nov,2017
Measles new cases < 5 years,12,Akwa-Ibom,State level data,Oct,2017
Measles new cases < 5 years,45,Ondo,State level data,Jul,2017
Measles new cases < 5 years,7,Akwa-Ibom,State level data,Jul,2017
Measles new cases < 5 years,88,Yobe,State level data,Jun,2017
Measles new cases < 5 years,16,Anambra,State level data,Jan,2017
Measles new cases < 5 years,204,Zamfara,State level data,Jun,2017
Measles new cases < 5 years,16,Plateau,State level data,Aug,2017
Measles new cases < 5 years,34,Federal Capital Territory,State level data,Nov,2017
