Indicator,Values,State,LGA,Months,Year
077. Men A Vaccine - Doses Opened,50,Kano,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,82540,Kano,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,60980,Kano,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,2340,Kwara,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,11857,Kwara,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,13880,Kwara,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,16890,Kwara,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,350,Borno,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,24030,Borno,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,26600,Borno,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,110,Borno,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,60,Ondo,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,20,Nasarawa,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,960,Bauchi,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,24779,Bauchi,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,33638,Bauchi,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,610,Bauchi,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,170,Cross River,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,570,Cross River,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,49720,Kaduna,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,63950,Kaduna,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,15250,Nasarawa,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,27000,Nasarawa,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,15180,Nasarawa,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,14132,Taraba,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,18328,Taraba,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,60,Taraba,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,2000,Federal Government,State level data,Aug,2020
077. Men A Vaccine - Doses Opened,10910,Federal Government,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,23330,Oyo,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,1520,Oyo,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,2090,Plateau,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,22179,Oyo,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,680,Oyo,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,69302,Federal Government,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,431835,Federal Government,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,597238,Federal Government,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,19968,Anambra,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,19060,Anambra,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,4410,Anambra,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,1540,Anambra,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,1960,Delta,State level data,Aug,2020
077. Men A Vaccine - Doses Opened,3730,Delta,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,5770,Delta,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,10325,Delta,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,10520,Delta,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,48340,Jigawa,State level data,Dec,2020
077. Men A Vaccine - Doses Opened,1100,Jigawa,State level data,Oct,2020
077. Men A Vaccine - Doses Opened,13530,Jigawa,State level data,Nov,2020
077. Men A Vaccine - Doses Opened,1710,Jigawa,State level data,Sep,2020
077. Men A Vaccine - Doses Opened,14709,Gombe,State level data,Nov,2020
