Indicator,Values,State,LGA,Months,Year
076. Men A Vaccine - Received,740,Oyo,State level data,Sep,2020
076. Men A Vaccine - Received,22680,Oyo,State level data,Nov,2020
076. Men A Vaccine - Received,1550,Oyo,State level data,Oct,2020
076. Men A Vaccine - Received,24160,Oyo,State level data,Dec,2020
076. Men A Vaccine - Received,15070,Osun,State level data,Nov,2020
076. Men A Vaccine - Received,2190,Federal Government,State level data,Aug,2020
076. Men A Vaccine - Received,71170,Federal Government,State level data,Oct,2020
076. Men A Vaccine - Received,9430,Edo,State level data,Dec,2020
076. Men A Vaccine - Received,270,Osun,State level data,Oct,2020
076. Men A Vaccine - Received,14210,Jigawa,State level data,Nov,2020
076. Men A Vaccine - Received,40,Yobe,State level data,Aug,2020
076. Men A Vaccine - Received,60,Ondo,State level data,Dec,2020
076. Men A Vaccine - Received,140,Borno,State level data,Sep,2020
076. Men A Vaccine - Received,33261,Borno,State level data,Dec,2020
076. Men A Vaccine - Received,24470,Yobe,State level data,Dec,2020
076. Men A Vaccine - Received,50,Kano,State level data,Sep,2020
076. Men A Vaccine - Received,1100,Jigawa,State level data,Oct,2020
076. Men A Vaccine - Received,70,Yobe,State level data,Sep,2020
076. Men A Vaccine - Received,6150,Delta,State level data,Oct,2020
076. Men A Vaccine - Received,18430,Taraba,State level data,Dec,2020
076. Men A Vaccine - Received,60,Taraba,State level data,Oct,2020
076. Men A Vaccine - Received,93453,Kano,State level data,Dec,2020
076. Men A Vaccine - Received,464694,Federal Government,State level data,Nov,2020
076. Men A Vaccine - Received,200,Adamawa,State level data,Oct,2020
076. Men A Vaccine - Received,1020,Bauchi,State level data,Oct,2020
076. Men A Vaccine - Received,20604,Niger,State level data,Dec,2020
076. Men A Vaccine - Received,14932,Gombe,State level data,Nov,2020
076. Men A Vaccine - Received,64340,Kaduna,State level data,Dec,2020
076. Men A Vaccine - Received,13750,Osun,State level data,Dec,2020
076. Men A Vaccine - Received,580,Cross River,State level data,Nov,2020
076. Men A Vaccine - Received,1540,Anambra,State level data,Sep,2020
076. Men A Vaccine - Received,11661,Federal Capital Territory,State level data,Nov,2020
076. Men A Vaccine - Received,20180,Anambra,State level data,Dec,2020
076. Men A Vaccine - Received,4410,Anambra,State level data,Oct,2020
076. Men A Vaccine - Received,530,Enugu,State level data,Dec,2020
076. Men A Vaccine - Received,20,Enugu,State level data,Nov,2020
076. Men A Vaccine - Received,19300,Anambra,State level data,Nov,2020
076. Men A Vaccine - Received,620,Bauchi,State level data,Sep,2020
076. Men A Vaccine - Received,14510,Kwara,State level data,Nov,2020
076. Men A Vaccine - Received,2180,Plateau,State level data,Dec,2020
076. Men A Vaccine - Received,20940,Imo,State level data,Nov,2020
076. Men A Vaccine - Received,15330,Federal Capital Territory,State level data,Dec,2020
076. Men A Vaccine - Received,54280,Katsina,State level data,Nov,2020
076. Men A Vaccine - Received,20,Nasarawa,State level data,Sep,2020
076. Men A Vaccine - Received,15540,Nasarawa,State level data,Oct,2020
076. Men A Vaccine - Received,36917,Adamawa,State level data,Dec,2020
076. Men A Vaccine - Received,22912,Adamawa,State level data,Nov,2020
076. Men A Vaccine - Received,16470,Nasarawa,State level data,Nov,2020
076. Men A Vaccine - Received,2690,Kwara,State level data,Sep,2020
076. Men A Vaccine - Received,34318,Bauchi,State level data,Dec,2020
076. Men A Vaccine - Received,50,Katsina,State level data,Sep,2020
076. Men A Vaccine - Received,17560,Kwara,State level data,Dec,2020
076. Men A Vaccine - Received,18060,Imo,State level data,Oct,2020
076. Men A Vaccine - Received,11025,Delta,State level data,Nov,2020
076. Men A Vaccine - Received,70232,Katsina,State level data,Dec,2020
076. Men A Vaccine - Received,31090,Borno,State level data,Nov,2020
076. Men A Vaccine - Received,570,Borno,State level data,Oct,2020
076. Men A Vaccine - Received,9862,Yobe,State level data,Oct,2020
076. Men A Vaccine - Received,18810,Yobe,State level data,Nov,2020
076. Men A Vaccine - Received,2150,Delta,State level data,Aug,2020
076. Men A Vaccine - Received,3890,Delta,State level data,Sep,2020
076. Men A Vaccine - Received,11825,Niger,State level data,Nov,2020
076. Men A Vaccine - Received,22200,Gombe,State level data,Dec,2020
076. Men A Vaccine - Received,51700,Kaduna,State level data,Nov,2020
076. Men A Vaccine - Received,51020,Jigawa,State level data,Dec,2020
076. Men A Vaccine - Received,170,Cross River,State level data,Dec,2020
076. Men A Vaccine - Received,11960,Delta,State level data,Dec,2020
076. Men A Vaccine - Received,1710,Jigawa,State level data,Sep,2020
076. Men A Vaccine - Received,631305,Federal Government,State level data,Dec,2020
076. Men A Vaccine - Received,28040,Nasarawa,State level data,Dec,2020
076. Men A Vaccine - Received,25729,Bauchi,State level data,Nov,2020
076. Men A Vaccine - Received,12378,Kwara,State level data,Oct,2020
076. Men A Vaccine - Received,18710,Imo,State level data,Dec,2020
076. Men A Vaccine - Received,11520,Federal Government,State level data,Sep,2020
076. Men A Vaccine - Received,72500,Kano,State level data,Nov,2020
076. Men A Vaccine - Received,14450,Taraba,State level data,Nov,2020
076. Men A Vaccine - Received,290,Osun,Ayedire,Nov,2020
076. Men A Vaccine - Received,350,Osun,Ayedire,Dec,2020
076. Men A Vaccine - Received,2060,Gombe,Gombe,Nov,2020
076. Men A Vaccine - Received,90,Jigawa,Kazaure,Sep,2020
076. Men A Vaccine - Received,3070,Gombe,Gombe,Dec,2020
076. Men A Vaccine - Received,1590,Federal Capital Territory,Kwali,Dec,2020
076. Men A Vaccine - Received,550,Edo,Owan East,Dec,2020
076. Men A Vaccine - Received,2500,Katsina,Ingawa,Nov,2020
076. Men A Vaccine - Received,1210,Federal Capital Territory,Kwali,Nov,2020
076. Men A Vaccine - Received,4320,Nasarawa,Obi,Dec,2020
076. Men A Vaccine - Received,1490,Nasarawa,Obi,Nov,2020
076. Men A Vaccine - Received,3670,Federal Capital Territory,Bwari,Dec,2020
076. Men A Vaccine - Received,1990,Kano,Dala,Nov,2020
076. Men A Vaccine - Received,2700,Kano,Dala,Dec,2020
076. Men A Vaccine - Received,1280,Anambra,Nnewi North,Sep,2020
076. Men A Vaccine - Received,730,Delta,Ika North East,Oct,2020
076. Men A Vaccine - Received,930,Anambra,Ekwusigo,Dec,2020
076. Men A Vaccine - Received,940,Anambra,Ekwusigo,Nov,2020
076. Men A Vaccine - Received,950,Niger,Rafi,Nov,2020
076. Men A Vaccine - Received,2990,Katsina,Ingawa,Dec,2020
076. Men A Vaccine - Received,1530,Niger,Rafi,Dec,2020
076. Men A Vaccine - Received,1140,Osun,Osogbo,Nov,2020
076. Men A Vaccine - Received,3180,Kaduna,Zaria,Nov,2020
076. Men A Vaccine - Received,2260,Federal Capital Territory,Bwari,Nov,2020
076. Men A Vaccine - Received,3740,Kaduna,Zaria,Dec,2020
076. Men A Vaccine - Received,1170,Yobe,Geidam,Dec,2020
076. Men A Vaccine - Received,640,Yobe,Machina,Dec,2020
076. Men A Vaccine - Received,890,Yobe,Geidam,Nov,2020
