Indicator,Values,State,LGA,Months,Year
Men A given,11316,Yobe,State level data,Oct,2020
Men A given,4986,Borno,State level data,Oct,2020
Men A given,54,Niger,State level data,Aug,2020
Men A given,14668,Borno,State level data,Dec,2020
Men A given,19104,Niger,State level data,Nov,2020
Men A given,17606,Jigawa,State level data,Nov,2020
Men A given,1610,Borno,State level data,Sep,2020
Men A given,9,Cross River,State level data,Nov,2020
Men A given,13160,Yobe,State level data,Dec,2020
Men A given,302,Borno,State level data,Jul,2020
Men A given,11708,Yobe,State level data,Sep,2020
Men A given,41,Yobe,State level data,Jul,2020
Men A given,6173,Nasarawa,State level data,Nov,2020
Men A given,12920,Adamawa,State level data,Nov,2020
Men A given,45,Oyo,State level data,Jun,2020
Men A given,29377,Katsina,State level data,Dec,2020
Men A given,5198,Osun,State level data,Jul,2020
Men A given,4130,Nasarawa,State level data,Aug,2020
Men A given,12472,Osun,State level data,Dec,2020
Men A given,7913,Osun,State level data,Oct,2020
Men A given,19434,Bauchi,State level data,Dec,2020
Men A given,6195,Bauchi,State level data,Oct,2020
Men A given,5800,Bauchi,State level data,Sep,2020
Men A given,9115,Kwara,State level data,Nov,2020
Men A given,14162,Imo,State level data,Nov,2020
Men A given,6685,Kwara,State level data,Aug,2020
Men A given,9266,Osun,State level data,Sep,2020
Men A given,284,Kaduna,State level data,Jul,2020
Men A given,2757,Gombe,State level data,Oct,2020
Men A given,7508,Gombe,State level data,Nov,2020
Men A given,14021,Delta,State level data,Dec,2020
Men A given,31627,Kaduna,State level data,Dec,2020
Men A given,26187,Kaduna,State level data,Nov,2020
Men A given,98,Delta,State level data,Jul,2020
Men A given,11824,Delta,State level data,Aug,2020
Men A given,228,Imo,State level data,Jul,2020
Men A given,58,Imo,State level data,Aug,2020
Men A given,7873,Kwara,State level data,Sep,2020
Men A given,88,Enugu,State level data,Nov,2020
Men A given,10,Kwara,State level data,Jun,2020
Men A given,271745,Federal Government,State level data,Oct,2020
Men A given,63,Anambra,State level data,Jul,2020
Men A given,16761,Oyo,State level data,Nov,2020
Men A given,12625,Bauchi,State level data,Nov,2020
Men A given,10467,Adamawa,State level data,Sep,2020
Men A given,52,Federal Capital Territory,State level data,Sep,2020
Men A given,14941,Anambra,State level data,Nov,2020
Men A given,139,Federal Capital Territory,State level data,Oct,2020
Men A given,98,Federal Government,State level data,Jun,2020
Men A given,8061,Osun,State level data,Aug,2020
Men A given,10631,Nasarawa,State level data,Sep,2020
Men A given,8907,Kwara,State level data,Oct,2020
Men A given,12979,Imo,State level data,Dec,2020
Men A given,1725,Kano,State level data,Aug,2020
Men A given,193766,Federal Government,State level data,Sep,2020
Men A given,82044,Katsina,State level data,Oct,2020
Men A given,45,Lagos,State level data,Sep,2020
Men A given,9276,Yobe,State level data,Nov,2020
Men A given,8496,Niger,State level data,Sep,2020
Men A given,11473,Borno,State level data,Nov,2020
Men A given,1629,Taraba,State level data,Sep,2020
Men A given,11265,Niger,State level data,Oct,2020
Men A given,25571,Niger,State level data,Dec,2020
Men A given,16097,Jigawa,State level data,Oct,2020
Men A given,24284,Jigawa,State level data,Dec,2020
Men A given,6,Cross River,State level data,Dec,2020
Men A given,18763,Jigawa,State level data,Sep,2020
Men A given,44930,Kano,State level data,Dec,2020
Men A given,10180,Taraba,State level data,Dec,2020
Men A given,4599,Taraba,State level data,Oct,2020
Men A given,27478,Kano,State level data,Oct,2020
Men A given,8065,Nasarawa,State level data,Oct,2020
Men A given,4399,Edo,State level data,Dec,2020
Men A given,19,Kano,State level data,Jul,2020
Men A given,18,Borno,State level data,Aug,2020
Men A given,7247,Yobe,State level data,Aug,2020
Men A given,15207,Anambra,State level data,Dec,2020
Men A given,11290,Oyo,State level data,Oct,2020
Men A given,649,Adamawa,State level data,Jul,2020
Men A given,16295,Oyo,State level data,Dec,2020
Men A given,11869,Anambra,State level data,Oct,2020
Men A given,78654,Federal Government,State level data,Aug,2020
Men A given,58,Oyo,State level data,Jul,2020
Men A given,17783,Oyo,State level data,Sep,2020
Men A given,1748,Nasarawa,State level data,Jul,2020
Men A given,23343,Katsina,State level data,Nov,2020
Men A given,281048,Federal Government,State level data,Nov,2020
Men A given,9764,Adamawa,State level data,Oct,2020
Men A given,31290,Kano,State level data,Sep,2020
Men A given,264,Enugu,State level data,Dec,2020
Men A given,7530,Federal Capital Territory,State level data,Nov,2020
Men A given,12677,Anambra,State level data,Sep,2020
Men A given,12497,Gombe,State level data,Dec,2020
Men A given,17597,Kaduna,State level data,Sep,2020
Men A given,15606,Kaduna,State level data,Aug,2020
Men A given,12680,Delta,State level data,Nov,2020
Men A given,13249,Delta,State level data,Oct,2020
Men A given,20122,Kaduna,State level data,Oct,2020
Men A given,43,Delta,State level data,Jun,2020
Men A given,14869,Delta,State level data,Sep,2020
Men A given,13690,Imo,State level data,Oct,2020
Men A given,9570,Federal Government,State level data,Jul,2020
Men A given,8,Bayelsa,State level data,Dec,2020
Men A given,11093,Kwara,State level data,Dec,2020
Men A given,264,Plateau,State level data,Dec,2020
Men A given,17253,Osun,State level data,Nov,2020
Men A given,9065,Adamawa,State level data,Aug,2020
Men A given,18395,Adamawa,State level data,Dec,2020
Men A given,7634,Federal Capital Territory,State level data,Dec,2020
Men A given,14,Anambra,State level data,Aug,2020
Men A given,13210,Imo,State level data,Sep,2020
Men A given,9413,Nasarawa,State level data,Dec,2020
Men A given,39,Edo,State level data,Nov,2020
Men A given,348178,Federal Government,State level data,Dec,2020
Men A given,882,Kwara,State level data,Jul,2020
Men A given,14152,Oyo,State level data,Aug,2020
Men A given,15,Bauchi,State level data,Aug,2020
Men A given,34958,Kano,State level data,Nov,2020
Men A given,7297,Taraba,State level data,Nov,2020
Men A given,1951,Kano,Nasarawa,Oct,2020
Men A given,774,Oyo,Ibadan North East,Aug,2020
Men A given,707,Katsina,Kaita,Nov,2020
Men A given,1813,Borno,Monguno,Nov,2020
Men A given,2830,Kano,Nasarawa,Dec,2020
Men A given,469,Jigawa,Gumel,Oct,2020
Men A given,322,Bauchi,Warji,Nov,2020
Men A given,435,Bauchi,Katagum,Sep,2020
Men A given,449,Jigawa,Yankwashi,Dec,2020
Men A given,425,Jigawa,Gumel,Dec,2020
Men A given,165,Osun,Ifelodun,Nov,2020
