Indicator,Year,Values,State,LGA,Months
Men A Coverage,2020,66.4,Anambra,State level data,NA
Men A Coverage,2020,47.2,Abia,State level data,NA
Men A Coverage,2020,89,Adamawa,State level data,NA
Men A Coverage,2020,54.2,Akwa-Ibom,State level data,NA
Men A Coverage,2020,62.9,Bauchi,State level data,NA
Men A Coverage,2020,40.1,Benue,State level data,NA
Men A Coverage,2020,61.6,Borno,State level data,NA
Men A Coverage,2020,22.8,Bayelsa,State level data,NA
Men A Coverage,2020,77.3,Cross River,State level data,NA
Men A Coverage,2020,73.9,Delta,State level data,NA
Men A Coverage,2020,70.4,Ebonyi,State level data,NA
Men A Coverage,2020,47.5,Edo,State level data,NA
Men A Coverage,2020,48.5,Ekiti,State level data,NA
Men A Coverage,2020,50,Enugu,State level data,NA
Men A Coverage,2020,103.6,Federal Capital Territory,State level data,NA
Men A Coverage,2020,60.8,Gombe,State level data,NA
Men A Coverage,2020,71.1,Imo,State level data,NA
Men A Coverage,2020,86.4,Jigawa,State level data,NA
Men A Coverage,2020,78.9,Kaduna,State level data,NA
Men A Coverage,2020,96.4,Kebbi,State level data,NA
Men A Coverage,2020,73,Kano,State level data,NA
Men A Coverage,2020,46,Kogi,State level data,NA
Men A Coverage,2020,78.8,Katsina,State level data,NA
Men A Coverage,2020,67,Kwara,State level data,NA
Men A Coverage,2020,74.9,Lagos,State level data,NA
Men A Coverage,2020,68.8,Nasarawa,State level data,NA
Men A Coverage,2020,66.8,Federal Government,State level data,NA
Men A Coverage,2020,68,Niger,State level data,NA
Men A Coverage,2020,66.7,Ogun,State level data,NA
Men A Coverage,2020,74.1,Ondo,State level data,NA
Men A Coverage,2020,52.2,Osun,State level data,NA
Men A Coverage,2020,60.1,Oyo,State level data,NA
Men A Coverage,2020,53.7,Plateau,State level data,NA
Men A Coverage,2020,70.4,Rivers,State level data,NA
Men A Coverage,2020,55.6,Sokoto,State level data,NA
Men A Coverage,2020,73.9,Taraba,State level data,NA
Men A Coverage,2020,70.1,Yobe,State level data,NA
Men A Coverage,2020,65.7,Zamfara,State level data,NA
Men A Coverage,2020,76.9,Abia,Aba North,NA
Men A Coverage,2020,54.9,Abia,Aba South,NA
Men A Coverage,2020,41.5,Abia,Arochukwu,NA
Men A Coverage,2020,22.1,Abia,Bende,NA
Men A Coverage,2020,30.1,Abia,Ikwuano,NA
Men A Coverage,2020,48.1,Abia,Isiala-Ngwa North,NA
Men A Coverage,2020,65.4,Abia,Isiala-Ngwa South,NA
Men A Coverage,2020,31.1,Abia,Isuikwuato,NA
Men A Coverage,2020,49.4,Abia,Obi Nwga,NA
Men A Coverage,2020,34,Abia,Ohafia,NA
Men A Coverage,2020,41.6,Abia,Osisioma Ngwa,NA
Men A Coverage,2020,44,Abia,Ugwunagbo,NA
Men A Coverage,2020,76.6,Abia,Ukwa East,NA
Men A Coverage,2020,57.3,Abia,Ukwa West,NA
Men A Coverage,2020,70.6,Abia,Umuahia North,NA
Men A Coverage,2020,43.8,Abia,Umuahia South,NA
