Indicator,Values,State,LGA,Months,Year
Men A Coverage,5,Anambra,State level data,Jan,2020
Men A Coverage,5.4,Abia,State level data,Jan,2020
Men A Coverage,7.5,Adamawa,State level data,Jan,2020
Men A Coverage,6.2,Akwa-Ibom,State level data,Jan,2020
Men A Coverage,5.4,Bauchi,State level data,Jan,2020
Men A Coverage,1.8,Benue,State level data,Jan,2020
Men A Coverage,5.1,Borno,State level data,Jan,2020
Men A Coverage,2.5,Bayelsa,State level data,Jan,2020
Men A Coverage,6.4,Cross River,State level data,Jan,2020
Men A Coverage,7.2,Delta,State level data,Jan,2020
Men A Coverage,5,Ebonyi,State level data,Jan,2020
Men A Coverage,4,Edo,State level data,Jan,2020
Men A Coverage,2.9,Ekiti,State level data,Jan,2020
Men A Coverage,4,Enugu,State level data,Jan,2020
Men A Coverage,9,Federal Capital Territory,State level data,Jan,2020
Men A Coverage,4.2,Gombe,State level data,Jan,2020
Men A Coverage,6.6,Imo,State level data,Jan,2020
Men A Coverage,7.4,Jigawa,State level data,Jan,2020
Men A Coverage,7.2,Kaduna,State level data,Jan,2020
Men A Coverage,7.3,Kebbi,State level data,Jan,2020
Men A Coverage,6.3,Kano,State level data,Jan,2020
Men A Coverage,5.3,Kogi,State level data,Jan,2020
Men A Coverage,4.6,Katsina,State level data,Jan,2020
Men A Coverage,5,Kwara,State level data,Jan,2020
Men A Coverage,5.9,Lagos,State level data,Jan,2020
Men A Coverage,4.3,Nasarawa,State level data,Jan,2020
Men A Coverage,5.5,Federal Government,State level data,Jan,2020
Men A Coverage,5.6,Niger,State level data,Jan,2020
Men A Coverage,5.8,Ogun,State level data,Jan,2020
Men A Coverage,6.5,Ondo,State level data,Jan,2020
Men A Coverage,4.1,Osun,State level data,Jan,2020
Men A Coverage,4.7,Oyo,State level data,Jan,2020
Men A Coverage,5,Plateau,State level data,Jan,2020
Men A Coverage,6.6,Rivers,State level data,Jan,2020
Men A Coverage,4.4,Sokoto,State level data,Jan,2020
Men A Coverage,6.9,Taraba,State level data,Jan,2020
Men A Coverage,4.4,Yobe,State level data,Jan,2020
Men A Coverage,3.9,Zamfara,State level data,Jan,2020
Men A Coverage,5.1,Anambra,State level data,Feb,2020
Men A Coverage,5,Abia,State level data,Feb,2020
Men A Coverage,8.1,Adamawa,State level data,Feb,2020
Men A Coverage,4.6,Akwa-Ibom,State level data,Feb,2020
Men A Coverage,5.4,Bauchi,State level data,Feb,2020
Men A Coverage,2.9,Benue,State level data,Feb,2020
Men A Coverage,5.3,Borno,State level data,Feb,2020
Men A Coverage,2.1,Bayelsa,State level data,Feb,2020
Men A Coverage,5.9,Cross River,State level data,Feb,2020
Men A Coverage,10,Delta,State level data,Feb,2020
Men A Coverage,5.5,Ebonyi,State level data,Feb,2020
Men A Coverage,4.3,Edo,State level data,Feb,2020
Men A Coverage,3.2,Ekiti,State level data,Feb,2020
Men A Coverage,3.7,Enugu,State level data,Feb,2020
Men A Coverage,8.7,Federal Capital Territory,State level data,Feb,2020
Men A Coverage,4.1,Gombe,State level data,Feb,2020
Men A Coverage,6,Imo,State level data,Feb,2020
Men A Coverage,7.2,Jigawa,State level data,Feb,2020
Men A Coverage,5.8,Kaduna,State level data,Feb,2020
Men A Coverage,7.2,Kebbi,State level data,Feb,2020
Men A Coverage,6.5,Kano,State level data,Feb,2020
Men A Coverage,4.3,Kogi,State level data,Feb,2020
Men A Coverage,4.7,Katsina,State level data,Feb,2020
Men A Coverage,4.7,Kwara,State level data,Feb,2020
