Indicator,Values,State,LGA,Months,Year
OPV 1 given,5931,Edo,State level data,Jan,2017
OPV 1 given,5635,Edo,State level data,Feb,2017
OPV 1 given,7082,Edo,State level data,Mar,2017
OPV 1 given,5762,Edo,State level data,Apr,2017
OPV 1 given,8903,Edo,State level data,May,2017
OPV 1 given,9101,Edo,State level data,Jun,2017
OPV 1 given,7645,Edo,State level data,Jul,2017
OPV 1 given,8228,Edo,State level data,Aug,2017
OPV 1 given,8259,Edo,State level data,Sep,2017
OPV 1 given,8918,Edo,State level data,Oct,2017
OPV 1 given,9215,Edo,State level data,Nov,2017
OPV 1 given,7636,Edo,State level data,Dec,2017
OPV 1 given,29690,Jigawa,State level data,Oct,2017
OPV 1 given,21566,Jigawa,State level data,Dec,2017
OPV 1 given,19028,Jigawa,State level data,Nov,2017
OPV 1 given,19994,Jigawa,State level data,Jul,2017
OPV 1 given,18638,Jigawa,State level data,Jun,2017
OPV 1 given,33895,Jigawa,State level data,Sep,2017
OPV 1 given,20930,Jigawa,State level data,Aug,2017
OPV 1 given,19105,Jigawa,State level data,Mar,2017
OPV 1 given,18340,Jigawa,State level data,Feb,2017
OPV 1 given,20587,Jigawa,State level data,May,2017
OPV 1 given,17950,Jigawa,State level data,Apr,2017
OPV 1 given,17074,Jigawa,State level data,Jan,2017
OPV 1 given,16367,Imo,State level data,Oct,2017
OPV 1 given,17139,Imo,State level data,Nov,2017
OPV 1 given,15243,Imo,State level data,Dec,2017
OPV 1 given,14763,Yobe,State level data,Nov,2017
OPV 1 given,13751,Yobe,State level data,Oct,2017
OPV 1 given,7595,Federal Capital Territory,State level data,Aug,2017
OPV 1 given,8208,Federal Capital Territory,State level data,Jul,2017
OPV 1 given,8025,Federal Capital Territory,State level data,Sep,2017
OPV 1 given,7237,Federal Capital Territory,State level data,Apr,2017
OPV 1 given,9216,Federal Capital Territory,State level data,Mar,2017
OPV 1 given,8525,Federal Capital Territory,State level data,Jun,2017
OPV 1 given,8372,Federal Capital Territory,State level data,May,2017
OPV 1 given,8637,Federal Capital Territory,State level data,Feb,2017
OPV 1 given,10204,Federal Capital Territory,State level data,Jan,2017
OPV 1 given,14031,Yobe,State level data,Sep,2017
OPV 1 given,15745,Yobe,State level data,Aug,2017
OPV 1 given,14200,Yobe,State level data,Jul,2017
OPV 1 given,12081,Yobe,State level data,Jun,2017
OPV 1 given,15616,Yobe,State level data,May,2017
OPV 1 given,14765,Yobe,State level data,Apr,2017
OPV 1 given,13518,Yobe,State level data,Mar,2017
OPV 1 given,12882,Yobe,State level data,Feb,2017
OPV 1 given,11859,Yobe,State level data,Jan,2017
OPV 1 given,6063,Federal Capital Territory,State level data,Nov,2017
OPV 1 given,8427,Federal Capital Territory,State level data,Oct,2017
OPV 1 given,4741,Federal Capital Territory,State level data,Dec,2017
OPV 1 given,11847,Yobe,State level data,Dec,2017
OPV 1 given,18547,Imo,State level data,May,2017
OPV 1 given,19152,Imo,State level data,Jun,2017
