Indicator,Values,State,LGA,Months,Year
Penta 1 Coverage,72,Abia,State level data,Jan,2017
Penta 1 Coverage,76,Abia,State level data,Feb,2017
Penta 1 Coverage,73.8,Abia,State level data,Mar,2017
Penta 1 Coverage,69.8,Abia,State level data,Apr,2017
Penta 1 Coverage,76.2,Abia,State level data,May,2017
Penta 1 Coverage,102.3,Abia,State level data,Jun,2017
Penta 1 Coverage,78.5,Abia,State level data,Jul,2017
Penta 1 Coverage,79.6,Abia,State level data,Aug,2017
Penta 1 Coverage,78.9,Abia,State level data,Sep,2017
Penta 1 Coverage,72.7,Abia,State level data,Oct,2017
Penta 1 Coverage,96.5,Abia,State level data,Nov,2017
Penta 1 Coverage,72,Abia,State level data,Dec,2017
Penta 1 Coverage,127.5,Adamawa,State level data,Jan,2017
Penta 1 Coverage,129.7,Adamawa,State level data,Feb,2017
Penta 1 Coverage,120.9,Adamawa,State level data,Mar,2017
Penta 1 Coverage,116,Adamawa,State level data,Apr,2017
Penta 1 Coverage,123.8,Adamawa,State level data,May,2017
Penta 1 Coverage,120.2,Adamawa,State level data,Jun,2017
Penta 1 Coverage,122.5,Adamawa,State level data,Jul,2017
Penta 1 Coverage,116.6,Adamawa,State level data,Aug,2017
Penta 1 Coverage,115.1,Adamawa,State level data,Sep,2017
Penta 1 Coverage,118.6,Adamawa,State level data,Oct,2017
Penta 1 Coverage,125.2,Adamawa,State level data,Nov,2017
Penta 1 Coverage,103.7,Adamawa,State level data,Dec,2017
Penta 1 Coverage,80.8,Akwa-Ibom,State level data,Jan,2017
Penta 1 Coverage,89.8,Akwa-Ibom,State level data,Feb,2017
Penta 1 Coverage,94.2,Akwa-Ibom,State level data,Mar,2017
Penta 1 Coverage,78.5,Akwa-Ibom,State level data,Apr,2017
Penta 1 Coverage,94.4,Akwa-Ibom,State level data,May,2017
Penta 1 Coverage,83.6,Akwa-Ibom,State level data,Jun,2017
Penta 1 Coverage,92,Akwa-Ibom,State level data,Jul,2017
Penta 1 Coverage,87.2,Akwa-Ibom,State level data,Aug,2017
Penta 1 Coverage,85.4,Akwa-Ibom,State level data,Sep,2017
Penta 1 Coverage,81,Akwa-Ibom,State level data,Oct,2017
Penta 1 Coverage,83.6,Akwa-Ibom,State level data,Nov,2017
Penta 1 Coverage,88.4,Akwa-Ibom,State level data,Dec,2017
Penta 1 Coverage,90.4,Anambra,State level data,Jan,2017
Penta 1 Coverage,94.7,Anambra,State level data,Feb,2017
Penta 1 Coverage,90.5,Anambra,State level data,Mar,2017
Penta 1 Coverage,91.1,Anambra,State level data,Apr,2017
Penta 1 Coverage,94.8,Anambra,State level data,May,2017
Penta 1 Coverage,99.4,Anambra,State level data,Jun,2017
Penta 1 Coverage,99.7,Anambra,State level data,Jul,2017
Penta 1 Coverage,97.4,Anambra,State level data,Aug,2017
Penta 1 Coverage,95.1,Anambra,State level data,Sep,2017
Penta 1 Coverage,93.3,Anambra,State level data,Oct,2017
Penta 1 Coverage,92.4,Anambra,State level data,Nov,2017
Penta 1 Coverage,86.2,Anambra,State level data,Dec,2017
Penta 1 Coverage,108.8,Bauchi,State level data,Jan,2017
Penta 1 Coverage,119.9,Bauchi,State level data,Feb,2017
Penta 1 Coverage,111.2,Bauchi,State level data,Mar,2017
Penta 1 Coverage,111,Bauchi,State level data,Apr,2017
Penta 1 Coverage,107.1,Bauchi,State level data,May,2017
Penta 1 Coverage,103.9,Bauchi,State level data,Jun,2017
Penta 1 Coverage,105.8,Bauchi,State level data,Jul,2017
Penta 1 Coverage,103.7,Bauchi,State level data,Aug,2017
Penta 1 Coverage,102.8,Bauchi,State level data,Sep,2017
Penta 1 Coverage,99.1,Bauchi,State level data,Oct,2017
Penta 1 Coverage,103.6,Bauchi,State level data,Nov,2017
Penta 1 Coverage,92.8,Bauchi,State level data,Dec,2017
Penta 1 Coverage,67.4,Benue,State level data,Jan,2017
Penta 1 Coverage,54,Benue,State level data,Feb,2017
