Indicator,Values,State,LGA,Months,Year
Penta. 1 given,13837,Yobe,State level data,Oct,2017
Penta. 1 given,14879,Yobe,State level data,Nov,2017
Penta. 1 given,11890,Yobe,State level data,Dec,2017
Penta. 1 given,14954,Yobe,State level data,Apr,2017
Penta. 1 given,15802,Yobe,State level data,May,2017
Penta. 1 given,12455,Yobe,State level data,Jun,2017
Penta. 1 given,14306,Yobe,State level data,Jul,2017
Penta. 1 given,15856,Yobe,State level data,Aug,2017
Penta. 1 given,13949,Yobe,State level data,Sep,2017
Penta. 1 given,12318,Yobe,State level data,Jan,2017
Penta. 1 given,13118,Yobe,State level data,Feb,2017
Penta. 1 given,13630,Yobe,State level data,Mar,2017
Penta. 1 given,21803,Jigawa,State level data,Dec,2017
Penta. 1 given,31799,Jigawa,State level data,Oct,2017
Penta. 1 given,20019,Jigawa,State level data,Nov,2017
Penta. 1 given,15840,Niger,State level data,Jan,2017
Penta. 1 given,16932,Niger,State level data,Jun,2017
Penta. 1 given,22523,Niger,State level data,Jul,2017
Penta. 1 given,18691,Niger,State level data,Aug,2017
Penta. 1 given,16494,Niger,State level data,Sep,2017
Penta. 1 given,14847,Niger,State level data,Feb,2017
Penta. 1 given,17881,Niger,State level data,Mar,2017
Penta. 1 given,16473,Niger,State level data,Apr,2017
Penta. 1 given,18085,Niger,State level data,May,2017
Penta. 1 given,19148,Niger,State level data,Oct,2017
Penta. 1 given,15760,Niger,State level data,Nov,2017
Penta. 1 given,16859,Niger,State level data,Dec,2017
Penta. 1 given,14250,Kebbi,State level data,Oct,2017
Penta. 1 given,13901,Kebbi,State level data,Nov,2017
Penta. 1 given,10943,Kebbi,State level data,Dec,2017
Penta. 1 given,8144,Kebbi,State level data,Jun,2017
Penta. 1 given,11634,Kebbi,State level data,Jul,2017
Penta. 1 given,10977,Kebbi,State level data,Aug,2017
Penta. 1 given,12463,Kebbi,State level data,Sep,2017
Penta. 1 given,9925,Kebbi,State level data,Jan,2017
Penta. 1 given,9972,Kebbi,State level data,Feb,2017
Penta. 1 given,7947,Kebbi,State level data,Mar,2017
Penta. 1 given,8141,Kebbi,State level data,Apr,2017
Penta. 1 given,12237,Kebbi,State level data,May,2017
Penta. 1 given,8660,Federal Capital Territory,State level data,Sep,2017
Penta. 1 given,8801,Federal Capital Territory,State level data,Aug,2017
Penta. 1 given,12447,Federal Capital Territory,State level data,Jul,2017
Penta. 1 given,9383,Federal Capital Territory,State level data,Jun,2017
Penta. 1 given,9760,Federal Capital Territory,State level data,May,2017
Penta. 1 given,8167,Federal Capital Territory,State level data,Apr,2017
Penta. 1 given,8810,Federal Capital Territory,State level data,Mar,2017
Penta. 1 given,8230,Federal Capital Territory,State level data,Feb,2017
Penta. 1 given,4946,Federal Capital Territory,State level data,Dec,2017
Penta. 1 given,6420,Federal Capital Territory,State level data,Nov,2017
