Indicator,Year,Values,State,LGA,Months
Penta 3 Coverage (Annualized),2017,897.8,Abia,State level data,NA
Penta 3 Coverage (Annualized),2017,1351.3,Adamawa,State level data,NA
Penta 3 Coverage (Annualized),2017,946.9,Akwa-Ibom,State level data,NA
Penta 3 Coverage (Annualized),2017,1036.6,Anambra,State level data,NA
Penta 3 Coverage (Annualized),2017,1158.8,Bauchi,State level data,NA
Penta 3 Coverage (Annualized),2017,794.4,Benue,State level data,NA
Penta 3 Coverage (Annualized),2017,783.6,Borno,State level data,NA
Penta 3 Coverage (Annualized),2017,368.4,Bayelsa,State level data,NA
Penta 3 Coverage (Annualized),2017,1050.5,Cross River,State level data,NA
Penta 3 Coverage (Annualized),2017,839,Delta,State level data,NA
Penta 3 Coverage (Annualized),2017,1001.4,Ebonyi,State level data,NA
Penta 3 Coverage (Annualized),2017,608.4,Edo,State level data,NA
Penta 3 Coverage (Annualized),2017,1032.8,Ekiti,State level data,NA
Penta 3 Coverage (Annualized),2017,630.7,Enugu,State level data,NA
Penta 3 Coverage (Annualized),2017,1553.9,Federal Capital Territory,State level data,NA
Penta 3 Coverage (Annualized),2017,1080.6,Gombe,State level data,NA
Penta 3 Coverage (Annualized),2017,1063.4,Imo,State level data,NA
Penta 3 Coverage (Annualized),2017,1268.6,Jigawa,State level data,NA
Penta 3 Coverage (Annualized),2017,1360.2,Kaduna,State level data,NA
Penta 3 Coverage (Annualized),2017,780.1,Kebbi,State level data,NA
Penta 3 Coverage (Annualized),2017,1127.4,Kano,State level data,NA
Penta 3 Coverage (Annualized),2017,1068,Kogi,State level data,NA
Penta 3 Coverage (Annualized),2017,775.4,Katsina,State level data,NA
Penta 3 Coverage (Annualized),2017,1088.7,Kwara,State level data,NA
Penta 3 Coverage (Annualized),2017,943.3,Lagos,State level data,NA
Penta 3 Coverage (Annualized),2017,1432.7,Nasarawa,State level data,NA
Penta 3 Coverage (Annualized),2017,1012.6,Federal Government,State level data,NA
Penta 3 Coverage (Annualized),2017,1014.6,Niger,State level data,NA
Penta 3 Coverage (Annualized),2017,1056.9,Ogun,State level data,NA
Penta 3 Coverage (Annualized),2017,1178.6,Ondo,State level data,NA
Penta 3 Coverage (Annualized),2017,909.3,Osun,State level data,NA
Penta 3 Coverage (Annualized),2017,979,Oyo,State level data,NA
Penta 3 Coverage (Annualized),2017,911.8,Plateau,State level data,NA
Penta 3 Coverage (Annualized),2017,1101.3,Rivers,State level data,NA
Penta 3 Coverage (Annualized),2017,1035,Sokoto,State level data,NA
Penta 3 Coverage (Annualized),2017,1126.9,Taraba,State level data,NA
Penta 3 Coverage (Annualized),2017,1315.2,Yobe,State level data,NA
Penta 3 Coverage (Annualized),2017,870.4,Zamfara,State level data,NA
Penta 3 Coverage (Annualized),2017,945.5,Abia,Aba North,NA
Penta 3 Coverage (Annualized),2017,1013.8,Abia,Aba South,NA
Penta 3 Coverage (Annualized),2017,1108.2,Abia,Arochukwu,NA
Penta 3 Coverage (Annualized),2017,700.6,Abia,Bende,NA
Penta 3 Coverage (Annualized),2017,938.4,Abia,Ikwuano,NA
Penta 3 Coverage (Annualized),2017,895.8,Abia,Isiala-Ngwa North,NA
Penta 3 Coverage (Annualized),2017,1035.6,Abia,Isiala-Ngwa South,NA
Penta 3 Coverage (Annualized),2017,1032.5,Abia,Isuikwuato,NA
Penta 3 Coverage (Annualized),2017,830.3,Abia,Obi Nwga,NA
Penta 3 Coverage (Annualized),2017,758.3,Abia,Ohafia,NA
Penta 3 Coverage (Annualized),2017,1062.3,Abia,Osisioma Ngwa,NA
Penta 3 Coverage (Annualized),2017,551,Abia,Ugwunagbo,NA
Penta 3 Coverage (Annualized),2017,1305.6,Abia,Ukwa East,NA
Penta 3 Coverage (Annualized),2017,746.3,Abia,Ukwa West,NA
Penta 3 Coverage (Annualized),2017,573.4,Abia,Umuahia North,NA
Penta 3 Coverage (Annualized),2017,1187.7,Abia,Umuahia South,NA
Penta 3 Coverage (Annualized),2017,706.9,Abia,Umunneochi,NA
Penta 3 Coverage (Annualized),2017,1087.9,Adamawa,Demsa,NA
Penta 3 Coverage (Annualized),2017,1293.9,Adamawa,Fufore,NA
Penta 3 Coverage (Annualized),2017,1406.9,Adamawa,Ganye,NA
Penta 3 Coverage (Annualized),2017,1313.9,Adamawa,Girei,NA
Penta 3 Coverage (Annualized),2017,1308.4,Adamawa,Gombi,NA
Penta 3 Coverage (Annualized),2017,1158.8,Adamawa,Guyuk,NA
Penta 3 Coverage (Annualized),2017,1372.5,Adamawa,Hong,NA
Penta 3 Coverage (Annualized),2017,1546.5,Adamawa,Jada,NA
Penta 3 Coverage (Annualized),2017,1400.5,Adamawa,Lamurde,NA
Penta 3 Coverage (Annualized),2017,643.7,Adamawa,Madagali,NA
Penta 3 Coverage (Annualized),2017,1523.3,Adamawa,Maiha,NA
Penta 3 Coverage (Annualized),2017,1489.3,Adamawa,Mayo-Belwa,NA
Penta 3 Coverage (Annualized),2017,1272.1,Adamawa,Michika,NA
Penta 3 Coverage (Annualized),2017,1094.6,Adamawa,Mubi North,NA
Penta 3 Coverage (Annualized),2017,1510.3,Adamawa,Mubi South,NA
Penta 3 Coverage (Annualized),2017,1208.2,Adamawa,Numan,NA
Penta 3 Coverage (Annualized),2017,1354.1,Adamawa,Shelleng,NA
Penta 3 Coverage (Annualized),2017,1286,Adamawa,Song,NA
Penta 3 Coverage (Annualized),2017,2183.8,Adamawa,Toungo,NA
Penta 3 Coverage (Annualized),2017,1262,Adamawa,Yola North,NA
Penta 3 Coverage (Annualized),2017,2064.6,Adamawa,Yola South,NA
Penta 3 Coverage (Annualized),2017,1140.9,Akwa-Ibom,Abak,NA
Penta 3 Coverage (Annualized),2017,1031.5,Akwa-Ibom,Eastern Obolo,NA
Penta 3 Coverage (Annualized),2017,929.5,Akwa-Ibom,Eket,NA
Penta 3 Coverage (Annualized),2017,779.8,Akwa-Ibom,Esit Eket,NA
Penta 3 Coverage (Annualized),2017,921.2,Akwa-Ibom,Essien Udim,NA
Penta 3 Coverage (Annualized),2017,998.8,Akwa-Ibom,Etim Ekpo,NA
Penta 3 Coverage (Annualized),2017,999.7,Akwa-Ibom,Etinan,NA
Penta 3 Coverage (Annualized),2017,1041.7,Akwa-Ibom,Ibeno,NA
Penta 3 Coverage (Annualized),2017,954.8,Akwa-Ibom,Ibesikpo Asutan,NA
Penta 3 Coverage (Annualized),2017,920.9,Akwa-Ibom,Ibiono Ibom,NA
Penta 3 Coverage (Annualized),2017,1187.6,Akwa-Ibom,Ika,NA
Penta 3 Coverage (Annualized),2017,853.4,Akwa-Ibom,Ikono,NA
Penta 3 Coverage (Annualized),2017,988.4,Akwa-Ibom,Ikot Abasi,NA
Penta 3 Coverage (Annualized),2017,973.7,Akwa-Ibom,Ikot Ekpene,NA
Penta 3 Coverage (Annualized),2017,947.4,Akwa-Ibom,Ini,NA
Penta 3 Coverage (Annualized),2017,997.3,Akwa-Ibom,Itu,NA
Penta 3 Coverage (Annualized),2017,973.6,Akwa-Ibom,Mbo,NA
Penta 3 Coverage (Annualized),2017,1343.8,Akwa-Ibom,Mkpat Enin,NA
Penta 3 Coverage (Annualized),2017,1133.7,Akwa-Ibom,Nsit Atai,NA
Penta 3 Coverage (Annualized),2017,990.9,Akwa-Ibom,Nsit Ibom,NA
Penta 3 Coverage (Annualized),2017,767.2,Akwa-Ibom,Nsit Ubium,NA
Penta 3 Coverage (Annualized),2017,1150.6,Akwa-Ibom,Obot Akara,NA
Penta 3 Coverage (Annualized),2017,1000.9,Akwa-Ibom,Okobo,NA
Penta 3 Coverage (Annualized),2017,838.3,Akwa-Ibom,Onna,NA
Penta 3 Coverage (Annualized),2017,1054.1,Akwa-Ibom,Oron,NA
Penta 3 Coverage (Annualized),2017,697.9,Akwa-Ibom,Oruk Anam,NA
Penta 3 Coverage (Annualized),2017,551.6,Akwa-Ibom,Udung Uko,NA
Penta 3 Coverage (Annualized),2017,687.6,Akwa-Ibom,Ukanafun,NA
Penta 3 Coverage (Annualized),2017,1045.2,Akwa-Ibom,Uruan,NA
Penta 3 Coverage (Annualized),2017,1159.5,Akwa-Ibom,Urue-Offong/Oruko,NA
Penta 3 Coverage (Annualized),2017,679.7,Akwa-Ibom,Uyo,NA
