Indicator,Values,State,LGA,Months,Year
027. Penta Vaccine - Opening Balance,800,Ekiti,State level data,Oct,2017
027. Penta Vaccine - Opening Balance,120,Ekiti,State level data,Dec,2017
027. Penta Vaccine - Opening Balance,1410,Ekiti,State level data,Jun,2017
027. Penta Vaccine - Opening Balance,1350,Ekiti,State level data,Jul,2017
027. Penta Vaccine - Opening Balance,760,Ekiti,State level data,Aug,2017
027. Penta Vaccine - Opening Balance,1310,Ekiti,State level data,Sep,2017
027. Penta Vaccine - Opening Balance,840,Ekiti,State level data,Feb,2017
027. Penta Vaccine - Opening Balance,790,Ekiti,State level data,Mar,2017
027. Penta Vaccine - Opening Balance,520,Ekiti,State level data,Apr,2017
027. Penta Vaccine - Opening Balance,410,Ekiti,State level data,May,2017
027. Penta Vaccine - Opening Balance,1570,Ekiti,State level data,Jan,2017
027. Penta Vaccine - Opening Balance,1845,Akwa-Ibom,State level data,Sep,2017
027. Penta Vaccine - Opening Balance,1110,Akwa-Ibom,State level data,Aug,2017
027. Penta Vaccine - Opening Balance,812,Akwa-Ibom,State level data,Jul,2017
027. Penta Vaccine - Opening Balance,1005,Akwa-Ibom,State level data,Jun,2017
027. Penta Vaccine - Opening Balance,1497,Akwa-Ibom,State level data,May,2017
027. Penta Vaccine - Opening Balance,1888,Akwa-Ibom,State level data,Apr,2017
027. Penta Vaccine - Opening Balance,909,Akwa-Ibom,State level data,Mar,2017
027. Penta Vaccine - Opening Balance,1150,Akwa-Ibom,State level data,Feb,2017
027. Penta Vaccine - Opening Balance,950,Akwa-Ibom,State level data,Jan,2017
027. Penta Vaccine - Opening Balance,858,Akwa-Ibom,State level data,Dec,2017
027. Penta Vaccine - Opening Balance,1720,Akwa-Ibom,State level data,Nov,2017
027. Penta Vaccine - Opening Balance,1780,Akwa-Ibom,State level data,Oct,2017
027. Penta Vaccine - Opening Balance,4900,Kwara,State level data,Jan,2017
027. Penta Vaccine - Opening Balance,3240,Kwara,State level data,Feb,2017
027. Penta Vaccine - Opening Balance,1940,Kwara,State level data,Mar,2017
027. Penta Vaccine - Opening Balance,2400,Kwara,State level data,Apr,2017
027. Penta Vaccine - Opening Balance,3653,Kwara,State level data,May,2017
027. Penta Vaccine - Opening Balance,1040,Kwara,State level data,Jun,2017
027. Penta Vaccine - Opening Balance,3250,Kwara,State level data,Jul,2017
027. Penta Vaccine - Opening Balance,2300,Kwara,State level data,Aug,2017
027. Penta Vaccine - Opening Balance,2410,Kwara,State level data,Sep,2017
027. Penta Vaccine - Opening Balance,1700,Oyo,State level data,Oct,2017
027. Penta Vaccine - Opening Balance,1389,Oyo,State level data,Dec,2017
027. Penta Vaccine - Opening Balance,1100,Oyo,State level data,Nov,2017
027. Penta Vaccine - Opening Balance,2460,Kwara,State level data,Oct,2017
027. Penta Vaccine - Opening Balance,3129,Kwara,State level data,Nov,2017
027. Penta Vaccine - Opening Balance,1010,Kwara,State level data,Dec,2017
027. Penta Vaccine - Opening Balance,2410,Oyo,State level data,Mar,2017
027. Penta Vaccine - Opening Balance,1128,Oyo,State level data,Feb,2017
027. Penta Vaccine - Opening Balance,3226,Oyo,State level data,Jan,2017
027. Penta Vaccine - Opening Balance,1770,Oyo,State level data,Jul,2017
027. Penta Vaccine - Opening Balance,1860,Oyo,State level data,Jun,2017
027. Penta Vaccine - Opening Balance,1360,Oyo,State level data,May,2017
027. Penta Vaccine - Opening Balance,1348,Oyo,State level data,Apr,2017
027. Penta Vaccine - Opening Balance,1530,Oyo,State level data,Sep,2017
027. Penta Vaccine - Opening Balance,1705,Oyo,State level data,Aug,2017
027. Penta Vaccine - Opening Balance,576,Cross River,State level data,Nov,2017
027. Penta Vaccine - Opening Balance,408,Cross River,State level data,Oct,2017
027. Penta Vaccine - Opening Balance,846,Cross River,State level data,Dec,2017
027. Penta Vaccine - Opening Balance,1177,Cross River,State level data,Aug,2017
027. Penta Vaccine - Opening Balance,1040,Cross River,State level data,Jul,2017
027. Penta Vaccine - Opening Balance,700,Cross River,State level data,Sep,2017
027. Penta Vaccine - Opening Balance,680,Cross River,State level data,Feb,2017
027. Penta Vaccine - Opening Balance,697,Cross River,State level data,Jan,2017
027. Penta Vaccine - Opening Balance,130,Cross River,State level data,Apr,2017
027. Penta Vaccine - Opening Balance,560,Cross River,State level data,Mar,2017
027. Penta Vaccine - Opening Balance,270,Cross River,State level data,Jun,2017
027. Penta Vaccine - Opening Balance,560,Cross River,State level data,May,2017
027. Penta Vaccine - Opening Balance,550,Bayelsa,State level data,Apr,2017
027. Penta Vaccine - Opening Balance,540,Bayelsa,State level data,May,2017
027. Penta Vaccine - Opening Balance,1370,Bayelsa,State level data,Feb,2017
027. Penta Vaccine - Opening Balance,80,Bayelsa,State level data,Mar,2017
027. Penta Vaccine - Opening Balance,360,Bayelsa,State level data,Jun,2017
027. Penta Vaccine - Opening Balance,980,Bayelsa,State level data,Nov,2017
027. Penta Vaccine - Opening Balance,500,Bayelsa,State level data,Dec,2017
027. Penta Vaccine - Opening Balance,280,Bayelsa,State level data,Oct,2017
027. Penta Vaccine - Opening Balance,920,Delta,State level data,Jun,2017
027. Penta Vaccine - Opening Balance,1360,Delta,State level data,May,2017
027. Penta Vaccine - Opening Balance,1136,Delta,State level data,Apr,2017
027. Penta Vaccine - Opening Balance,1646,Delta,State level data,Mar,2017
027. Penta Vaccine - Opening Balance,2010,Delta,State level data,Feb,2017
027. Penta Vaccine - Opening Balance,1566,Delta,State level data,Jan,2017
027. Penta Vaccine - Opening Balance,1360,Delta,State level data,Sep,2017
027. Penta Vaccine - Opening Balance,971,Delta,State level data,Aug,2017
027. Penta Vaccine - Opening Balance,1390,Delta,State level data,Jul,2017
027. Penta Vaccine - Opening Balance,926,Delta,State level data,Dec,2017
027. Penta Vaccine - Opening Balance,1010,Delta,State level data,Nov,2017
027. Penta Vaccine - Opening Balance,2260,Delta,State level data,Oct,2017
027. Penta Vaccine - Opening Balance,90,Katsina,State level data,Jan,2017
027. Penta Vaccine - Opening Balance,50,Katsina,State level data,Feb,2017
027. Penta Vaccine - Opening Balance,12,Katsina,State level data,Jun,2017
027. Penta Vaccine - Opening Balance,885,Katsina,State level data,Aug,2017
027. Penta Vaccine - Opening Balance,2144,Katsina,State level data,Sep,2017
027. Penta Vaccine - Opening Balance,2356,Katsina,State level data,Oct,2017
027. Penta Vaccine - Opening Balance,890,Katsina,State level data,Nov,2017
027. Penta Vaccine - Opening Balance,1815,Katsina,State level data,Dec,2017
027. Penta Vaccine - Opening Balance,180,Sokoto,State level data,May,2017
027. Penta Vaccine - Opening Balance,430,Sokoto,State level data,Jun,2017
027. Penta Vaccine - Opening Balance,280,Sokoto,State level data,Jul,2017
027. Penta Vaccine - Opening Balance,820,Sokoto,State level data,Aug,2017
027. Penta Vaccine - Opening Balance,540,Sokoto,State level data,Sep,2017
027. Penta Vaccine - Opening Balance,860,Sokoto,State level data,Oct,2017
027. Penta Vaccine - Opening Balance,400,Sokoto,State level data,Nov,2017
