Indicator,Values,State,LGA,Months,Year
029. Penta Vaccine - Doses Opened,296761,Kano,State level data,Dec,2017
029. Penta Vaccine - Doses Opened,141467,Kano,State level data,Nov,2017
029. Penta Vaccine - Doses Opened,138825,Kano,State level data,Oct,2017
029. Penta Vaccine - Doses Opened,133999,Kano,State level data,Sep,2017
029. Penta Vaccine - Doses Opened,139838,Kano,State level data,Aug,2017
029. Penta Vaccine - Doses Opened,133833,Kano,State level data,Jul,2017
029. Penta Vaccine - Doses Opened,130829,Kano,State level data,Jun,2017
029. Penta Vaccine - Doses Opened,150232.5,Kano,State level data,May,2017
029. Penta Vaccine - Doses Opened,140633,Kano,State level data,Apr,2017
029. Penta Vaccine - Doses Opened,153216,Kano,State level data,Mar,2017
029. Penta Vaccine - Doses Opened,145754,Kano,State level data,Feb,2017
029. Penta Vaccine - Doses Opened,153000,Kano,State level data,Jan,2017
029. Penta Vaccine - Doses Opened,45040,Anambra,State level data,Nov,2017
029. Penta Vaccine - Doses Opened,37585,Anambra,State level data,Dec,2017
029. Penta Vaccine - Doses Opened,53339,Anambra,State level data,Oct,2017
029. Penta Vaccine - Doses Opened,42942,Anambra,State level data,Jan,2017
029. Penta Vaccine - Doses Opened,42930,Anambra,State level data,Apr,2017
029. Penta Vaccine - Doses Opened,46229,Anambra,State level data,May,2017
029. Penta Vaccine - Doses Opened,49088,Anambra,State level data,Feb,2017
029. Penta Vaccine - Doses Opened,48253,Anambra,State level data,Mar,2017
029. Penta Vaccine - Doses Opened,52580,Anambra,State level data,Aug,2017
029. Penta Vaccine - Doses Opened,51300,Anambra,State level data,Sep,2017
029. Penta Vaccine - Doses Opened,47530,Anambra,State level data,Jun,2017
029. Penta Vaccine - Doses Opened,51869,Anambra,State level data,Jul,2017
029. Penta Vaccine - Doses Opened,21740,Benue,State level data,Mar,2017
029. Penta Vaccine - Doses Opened,27264,Benue,State level data,Apr,2017
029. Penta Vaccine - Doses Opened,28385,Benue,State level data,May,2017
