Indicator,Values,State,LGA,Months,Year
028. Penta Vaccine - Received,28656,Enugu,State level data,Nov,2017
028. Penta Vaccine - Received,30885,Enugu,State level data,Oct,2017
028. Penta Vaccine - Received,21245,Enugu,State level data,Dec,2017
028. Penta Vaccine - Received,29896,Enugu,State level data,Apr,2017
028. Penta Vaccine - Received,30970,Enugu,State level data,Mar,2017
028. Penta Vaccine - Received,32334,Enugu,State level data,Jun,2017
028. Penta Vaccine - Received,32001,Enugu,State level data,May,2017
028. Penta Vaccine - Received,28282,Enugu,State level data,Feb,2017
028. Penta Vaccine - Received,32494,Enugu,State level data,Jan,2017
028. Penta Vaccine - Received,30141,Enugu,State level data,Aug,2017
028. Penta Vaccine - Received,32795,Enugu,State level data,Jul,2017
028. Penta Vaccine - Received,26949,Enugu,State level data,Sep,2017
028. Penta Vaccine - Received,77860,Borno,State level data,Sep,2017
028. Penta Vaccine - Received,56480,Borno,State level data,Dec,2017
028. Penta Vaccine - Received,59740,Borno,State level data,Oct,2017
028. Penta Vaccine - Received,48810,Borno,State level data,Nov,2017
028. Penta Vaccine - Received,464,Borno,State level data,Jun,2017
028. Penta Vaccine - Received,82134,Borno,State level data,Jul,2017
028. Penta Vaccine - Received,87928,Borno,State level data,Aug,2017
028. Penta Vaccine - Received,180,Borno,State level data,Jan,2017
028. Penta Vaccine - Received,280,Borno,State level data,Mar,2017
028. Penta Vaccine - Received,53732,Anambra,State level data,Oct,2017
028. Penta Vaccine - Received,45084,Anambra,State level data,Nov,2017
028. Penta Vaccine - Received,37687,Anambra,State level data,Dec,2017
028. Penta Vaccine - Received,48066,Anambra,State level data,Mar,2017
028. Penta Vaccine - Received,42044,Anambra,State level data,Apr,2017
028. Penta Vaccine - Received,43630,Anambra,State level data,Jan,2017
028. Penta Vaccine - Received,49375,Anambra,State level data,Feb,2017
028. Penta Vaccine - Received,54704,Anambra,State level data,Jul,2017
028. Penta Vaccine - Received,53194,Anambra,State level data,Aug,2017
028. Penta Vaccine - Received,47122,Anambra,State level data,May,2017
028. Penta Vaccine - Received,49892,Anambra,State level data,Jun,2017
028. Penta Vaccine - Received,52267,Anambra,State level data,Sep,2017
028. Penta Vaccine - Received,47806,Kogi,State level data,Nov,2017
028. Penta Vaccine - Received,35511,Kogi,State level data,Dec,2017
028. Penta Vaccine - Received,44731,Kogi,State level data,Oct,2017
028. Penta Vaccine - Received,52414,Kogi,State level data,Jan,2017
028. Penta Vaccine - Received,38924,Kogi,State level data,Feb,2017
028. Penta Vaccine - Received,21020,Kogi,State level data,Mar,2017
028. Penta Vaccine - Received,24027,Kogi,State level data,Apr,2017
028. Penta Vaccine - Received,21220,Kogi,State level data,May,2017
028. Penta Vaccine - Received,33208,Kogi,State level data,Jun,2017
028. Penta Vaccine - Received,51676,Kogi,State level data,Jul,2017
028. Penta Vaccine - Received,43181,Kogi,State level data,Aug,2017
028. Penta Vaccine - Received,41063,Kogi,State level data,Sep,2017
028. Penta Vaccine - Received,29872,Gombe,State level data,Dec,2017
028. Penta Vaccine - Received,30160,Gombe,State level data,Nov,2017
028. Penta Vaccine - Received,33770,Gombe,State level data,Oct,2017
028. Penta Vaccine - Received,67020,Rivers,State level data,Dec,2017
028. Penta Vaccine - Received,67070,Rivers,State level data,Nov,2017
028. Penta Vaccine - Received,69800,Rivers,State level data,Oct,2017
028. Penta Vaccine - Received,63570,Rivers,State level data,Sep,2017
028. Penta Vaccine - Received,83330,Rivers,State level data,Aug,2017
028. Penta Vaccine - Received,71100,Rivers,State level data,May,2017
028. Penta Vaccine - Received,55730,Rivers,State level data,Apr,2017
028. Penta Vaccine - Received,79600,Rivers,State level data,Jul,2017
028. Penta Vaccine - Received,63350,Rivers,State level data,Jun,2017
028. Penta Vaccine - Received,55220,Rivers,State level data,Jan,2017
028. Penta Vaccine - Received,62750,Rivers,State level data,Mar,2017
028. Penta Vaccine - Received,63270,Rivers,State level data,Feb,2017
028. Penta Vaccine - Received,26462,Gombe,State level data,Sep,2017
028. Penta Vaccine - Received,33123,Gombe,State level data,Aug,2017
028. Penta Vaccine - Received,44670,Gombe,State level data,May,2017
028. Penta Vaccine - Received,90,Gombe,State level data,Apr,2017
028. Penta Vaccine - Received,41052,Gombe,State level data,Jul,2017
028. Penta Vaccine - Received,42862,Gombe,State level data,Jun,2017
028. Penta Vaccine - Received,2120,Gombe,State level data,Jan,2017
028. Penta Vaccine - Received,190,Gombe,State level data,Mar,2017
028. Penta Vaccine - Received,2620,Gombe,State level data,Feb,2017
028. Penta Vaccine - Received,41075,Ogun,State level data,Mar,2017
028. Penta Vaccine - Received,37733,Ogun,State level data,Apr,2017
