Indicator,Values,State,LGA,Months,Year
065. Yellow Fever Vaccine - Doses Opened,9930,Gombe,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,11832,Gombe,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,14381,Gombe,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,14166,Gombe,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,19485,Gombe,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,16111,Gombe,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,11710,Gombe,State level data,Jan,2020
065. Yellow Fever Vaccine - Doses Opened,10610,Gombe,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,11550,Gombe,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,16310,Gombe,State level data,Oct,2020
065. Yellow Fever Vaccine - Doses Opened,15043,Gombe,State level data,Nov,2020
065. Yellow Fever Vaccine - Doses Opened,23330,Gombe,State level data,Dec,2020
065. Yellow Fever Vaccine - Doses Opened,17029,Enugu,State level data,Nov,2020
065. Yellow Fever Vaccine - Doses Opened,17692,Enugu,State level data,Oct,2020
065. Yellow Fever Vaccine - Doses Opened,15722,Enugu,State level data,Dec,2020
065. Yellow Fever Vaccine - Doses Opened,14140,Enugu,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,14310,Enugu,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,14620,Enugu,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,15111,Enugu,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,14450,Enugu,State level data,Jan,2020
065. Yellow Fever Vaccine - Doses Opened,11220,Enugu,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,13629,Enugu,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,13900,Enugu,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,13140,Enugu,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,19530,Benue,State level data,Dec,2020
065. Yellow Fever Vaccine - Doses Opened,17889,Benue,State level data,Nov,2020
065. Yellow Fever Vaccine - Doses Opened,24290,Benue,State level data,Oct,2020
065. Yellow Fever Vaccine - Doses Opened,18850,Benue,State level data,Jan,2020
065. Yellow Fever Vaccine - Doses Opened,23110,Benue,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,22870,Benue,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,18560,Benue,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,20060,Benue,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,20602,Benue,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,19439,Benue,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,19590,Benue,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,21390,Benue,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,26950,Borno,State level data,Dec,2020
065. Yellow Fever Vaccine - Doses Opened,25469,Borno,State level data,Nov,2020
065. Yellow Fever Vaccine - Doses Opened,22890,Borno,State level data,Oct,2020
065. Yellow Fever Vaccine - Doses Opened,23960,Borno,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,22324,Borno,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,21000,Borno,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,20820,Borno,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,18120,Borno,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,17305,Borno,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,18830,Borno,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,20950,Borno,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,19484,Borno,State level data,Jan,2020
065. Yellow Fever Vaccine - Doses Opened,28888,Adamawa,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,29861,Adamawa,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,27810,Adamawa,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,28519,Adamawa,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,27160,Adamawa,State level data,Jan,2020
065. Yellow Fever Vaccine - Doses Opened,28150,Adamawa,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,25080,Adamawa,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,23679,Adamawa,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,26380,Adamawa,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,38437,Adamawa,State level data,Dec,2020
065. Yellow Fever Vaccine - Doses Opened,27704,Adamawa,State level data,Nov,2020
065. Yellow Fever Vaccine - Doses Opened,25768,Adamawa,State level data,Oct,2020
065. Yellow Fever Vaccine - Doses Opened,45410,Lagos,State level data,Jan,2020
065. Yellow Fever Vaccine - Doses Opened,45610,Lagos,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,33780,Lagos,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,36550,Lagos,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,39780,Lagos,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,28460,Lagos,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,41400,Lagos,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,39400,Lagos,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,40120,Lagos,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,47460,Lagos,State level data,Dec,2020
065. Yellow Fever Vaccine - Doses Opened,44718,Lagos,State level data,Oct,2020
065. Yellow Fever Vaccine - Doses Opened,44640,Lagos,State level data,Nov,2020
065. Yellow Fever Vaccine - Doses Opened,72070,Kano,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,74020,Kano,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,55199,Kano,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,67308,Kano,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,70803,Kano,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,74599,Kano,State level data,Oct,2020
065. Yellow Fever Vaccine - Doses Opened,72280,Kano,State level data,Nov,2020
065. Yellow Fever Vaccine - Doses Opened,87786,Kano,State level data,Dec,2020
065. Yellow Fever Vaccine - Doses Opened,71313,Kano,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,64192,Kano,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,78775,Kano,State level data,Jan,2020
065. Yellow Fever Vaccine - Doses Opened,74955,Kano,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,25040,Plateau,State level data,Oct,2020
065. Yellow Fever Vaccine - Doses Opened,16460,Plateau,State level data,Nov,2020
065. Yellow Fever Vaccine - Doses Opened,12530,Plateau,State level data,Dec,2020
065. Yellow Fever Vaccine - Doses Opened,24450,Plateau,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,20740,Plateau,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,19688,Plateau,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,21130,Plateau,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,20730,Plateau,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,20660,Plateau,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,23221,Plateau,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,24420,Plateau,State level data,Jan,2020
065. Yellow Fever Vaccine - Doses Opened,23160,Plateau,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,18079,Osun,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,16030,Osun,State level data,Jan,2020
065. Yellow Fever Vaccine - Doses Opened,23532,Osun,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,23500,Osun,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,22390,Osun,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,22670,Osun,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,20869,Osun,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,17770,Osun,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,17628,Osun,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,14040,Osun,State level data,Dec,2020
065. Yellow Fever Vaccine - Doses Opened,15040,Osun,State level data,Nov,2020
065. Yellow Fever Vaccine - Doses Opened,21170,Osun,State level data,Oct,2020
065. Yellow Fever Vaccine - Doses Opened,18769,Akwa-Ibom,State level data,Sep,2020
065. Yellow Fever Vaccine - Doses Opened,17819,Akwa-Ibom,State level data,Aug,2020
065. Yellow Fever Vaccine - Doses Opened,7020,Akwa-Ibom,State level data,Jul,2020
065. Yellow Fever Vaccine - Doses Opened,15460,Akwa-Ibom,State level data,Jun,2020
065. Yellow Fever Vaccine - Doses Opened,14640,Akwa-Ibom,State level data,May,2020
065. Yellow Fever Vaccine - Doses Opened,14967,Akwa-Ibom,State level data,Apr,2020
065. Yellow Fever Vaccine - Doses Opened,16170,Akwa-Ibom,State level data,Mar,2020
065. Yellow Fever Vaccine - Doses Opened,17930,Akwa-Ibom,State level data,Feb,2020
065. Yellow Fever Vaccine - Doses Opened,19789,Akwa-Ibom,State level data,Jan,2020
