Indicator,Values,State,LGA,Months,Year
063. Yellow Fever Vaccine - Opening Balance,150,Zamfara,State level data,Nov,2020
063. Yellow Fever Vaccine - Opening Balance,160,Zamfara,State level data,Jan,2020
063. Yellow Fever Vaccine - Opening Balance,120,Zamfara,State level data,Mar,2020
063. Yellow Fever Vaccine - Opening Balance,40,Zamfara,State level data,Apr,2020
063. Yellow Fever Vaccine - Opening Balance,120,Zamfara,State level data,May,2020
063. Yellow Fever Vaccine - Opening Balance,250,Zamfara,State level data,Jun,2020
063. Yellow Fever Vaccine - Opening Balance,30,Zamfara,State level data,Jul,2020
063. Yellow Fever Vaccine - Opening Balance,40,Zamfara,State level data,Aug,2020
063. Yellow Fever Vaccine - Opening Balance,40,Zamfara,State level data,Sep,2020
063. Yellow Fever Vaccine - Opening Balance,250,Bayelsa,State level data,Oct,2020
063. Yellow Fever Vaccine - Opening Balance,400,Bayelsa,State level data,Nov,2020
063. Yellow Fever Vaccine - Opening Balance,420,Bayelsa,State level data,Dec,2020
063. Yellow Fever Vaccine - Opening Balance,10,Bayelsa,State level data,Feb,2020
063. Yellow Fever Vaccine - Opening Balance,40,Bayelsa,State level data,Mar,2020
063. Yellow Fever Vaccine - Opening Balance,140,Bayelsa,State level data,Apr,2020
063. Yellow Fever Vaccine - Opening Balance,80,Bayelsa,State level data,May,2020
063. Yellow Fever Vaccine - Opening Balance,40,Bayelsa,State level data,Jan,2020
063. Yellow Fever Vaccine - Opening Balance,150,Bayelsa,State level data,Jun,2020
063. Yellow Fever Vaccine - Opening Balance,250,Bayelsa,State level data,Jul,2020
063. Yellow Fever Vaccine - Opening Balance,280,Bayelsa,State level data,Aug,2020
063. Yellow Fever Vaccine - Opening Balance,200,Bayelsa,State level data,Sep,2020
063. Yellow Fever Vaccine - Opening Balance,360,Yobe,State level data,Jan,2020
063. Yellow Fever Vaccine - Opening Balance,300,Yobe,State level data,Feb,2020
063. Yellow Fever Vaccine - Opening Balance,1470,Yobe,State level data,Oct,2020
063. Yellow Fever Vaccine - Opening Balance,2370,Yobe,State level data,Nov,2020
063. Yellow Fever Vaccine - Opening Balance,2320,Yobe,State level data,Dec,2020
063. Yellow Fever Vaccine - Opening Balance,1080,Enugu,State level data,Sep,2020
063. Yellow Fever Vaccine - Opening Balance,1010,Enugu,State level data,Aug,2020
063. Yellow Fever Vaccine - Opening Balance,510,Enugu,State level data,Jul,2020
063. Yellow Fever Vaccine - Opening Balance,1180,Enugu,State level data,Jun,2020
063. Yellow Fever Vaccine - Opening Balance,1229,Enugu,State level data,Jan,2020
063. Yellow Fever Vaccine - Opening Balance,1210,Enugu,State level data,May,2020
063. Yellow Fever Vaccine - Opening Balance,340,Enugu,State level data,Apr,2020
063. Yellow Fever Vaccine - Opening Balance,900,Enugu,State level data,Mar,2020
063. Yellow Fever Vaccine - Opening Balance,1050,Taraba,State level data,Dec,2020
063. Yellow Fever Vaccine - Opening Balance,501,Enugu,State level data,Feb,2020
063. Yellow Fever Vaccine - Opening Balance,2130,Taraba,State level data,Oct,2020
063. Yellow Fever Vaccine - Opening Balance,610,Yobe,State level data,Mar,2020
063. Yellow Fever Vaccine - Opening Balance,110,Taraba,State level data,Nov,2020
063. Yellow Fever Vaccine - Opening Balance,360,Yobe,State level data,Apr,2020
063. Yellow Fever Vaccine - Opening Balance,350,Yobe,State level data,May,2020
063. Yellow Fever Vaccine - Opening Balance,370,Yobe,State level data,Jun,2020
063. Yellow Fever Vaccine - Opening Balance,390,Yobe,State level data,Jul,2020
063. Yellow Fever Vaccine - Opening Balance,760,Yobe,State level data,Aug,2020
063. Yellow Fever Vaccine - Opening Balance,2120,Yobe,State level data,Sep,2020
