Indicator,Values,State,LGA,Months,Year
064. Yellow Fever Vaccine -  Received,15260,Nasarawa,State level data,Aug,2020
064. Yellow Fever Vaccine -  Received,18210,Nasarawa,State level data,Sep,2020
064. Yellow Fever Vaccine -  Received,10720,Nasarawa,State level data,Jun,2020
064. Yellow Fever Vaccine -  Received,16080,Nasarawa,State level data,Jul,2020
064. Yellow Fever Vaccine -  Received,15010,Nasarawa,State level data,Jan,2020
064. Yellow Fever Vaccine -  Received,13380,Nasarawa,State level data,Apr,2020
064. Yellow Fever Vaccine -  Received,1810,Nasarawa,State level data,May,2020
064. Yellow Fever Vaccine -  Received,16450,Nasarawa,State level data,Feb,2020
064. Yellow Fever Vaccine -  Received,15550,Nasarawa,State level data,Mar,2020
064. Yellow Fever Vaccine -  Received,16550,Nasarawa,State level data,Nov,2020
064. Yellow Fever Vaccine -  Received,28220,Nasarawa,State level data,Dec,2020
064. Yellow Fever Vaccine -  Received,20170,Nasarawa,State level data,Oct,2020
064. Yellow Fever Vaccine -  Received,52040,Kaduna,State level data,Jun,2020
064. Yellow Fever Vaccine -  Received,43370,Kaduna,State level data,Jul,2020
064. Yellow Fever Vaccine -  Received,46370,Kaduna,State level data,Aug,2020
064. Yellow Fever Vaccine -  Received,48310,Kaduna,State level data,Sep,2020
064. Yellow Fever Vaccine -  Received,50890,Kaduna,State level data,Feb,2020
064. Yellow Fever Vaccine -  Received,51611,Kaduna,State level data,Mar,2020
064. Yellow Fever Vaccine -  Received,51000,Kaduna,State level data,Apr,2020
064. Yellow Fever Vaccine -  Received,46071,Kaduna,State level data,May,2020
064. Yellow Fever Vaccine -  Received,57399,Kaduna,State level data,Jan,2020
064. Yellow Fever Vaccine -  Received,51094,Kaduna,State level data,Oct,2020
064. Yellow Fever Vaccine -  Received,53140,Kaduna,State level data,Nov,2020
064. Yellow Fever Vaccine -  Received,70275,Kaduna,State level data,Dec,2020
064. Yellow Fever Vaccine -  Received,51708,Katsina,State level data,Feb,2020
064. Yellow Fever Vaccine -  Received,48870,Katsina,State level data,Jan,2020
064. Yellow Fever Vaccine -  Received,46403,Katsina,State level data,Apr,2020
064. Yellow Fever Vaccine -  Received,44460,Katsina,State level data,Mar,2020
064. Yellow Fever Vaccine -  Received,48840,Katsina,State level data,Jun,2020
064. Yellow Fever Vaccine -  Received,38280,Katsina,State level data,May,2020
064. Yellow Fever Vaccine -  Received,46979,Katsina,State level data,Aug,2020
064. Yellow Fever Vaccine -  Received,62785,Katsina,State level data,Jul,2020
064. Yellow Fever Vaccine -  Received,13150,Kwara,State level data,May,2020
