Indicator,Values,State,LGA,Months,Year
Yellow Fever given,13500,Delta,State level data,Nov,2020
Yellow Fever given,54493,Delta,State level data,Dec,2020
Yellow Fever given,30,Delta,State level data,Jun,2020
Yellow Fever given,100,Delta,State level data,Jul,2020
Yellow Fever given,12220,Delta,State level data,Aug,2020
Yellow Fever given,14990,Delta,State level data,Sep,2020
Yellow Fever given,15048,Delta,State level data,Oct,2020
Yellow Fever given,420,Kaduna,State level data,Jul,2020
Yellow Fever given,22001,Kaduna,State level data,Aug,2020
Yellow Fever given,25494,Kaduna,State level data,Sep,2020
Yellow Fever given,9029,Nasarawa,State level data,Oct,2020
Yellow Fever given,7496,Nasarawa,State level data,Nov,2020
Yellow Fever given,30823,Kaduna,State level data,Oct,2020
Yellow Fever given,11669,Nasarawa,State level data,Dec,2020
Yellow Fever given,28472,Kaduna,State level data,Nov,2020
Yellow Fever given,36573,Kaduna,State level data,Dec,2020
Yellow Fever given,1840,Nasarawa,State level data,Jul,2020
Yellow Fever given,5239,Nasarawa,State level data,Aug,2020
Yellow Fever given,10831,Nasarawa,State level data,Sep,2020
Yellow Fever given,15,Bauchi,State level data,Aug,2020
Yellow Fever given,6788,Bauchi,State level data,Sep,2020
Yellow Fever given,12770,Anambra,State level data,Sep,2020
Yellow Fever given,7,Anambra,State level data,Aug,2020
Yellow Fever given,62,Anambra,State level data,Jul,2020
Yellow Fever given,15320,Anambra,State level data,Dec,2020
Yellow Fever given,19260,Anambra,State level data,Nov,2020
Yellow Fever given,13134,Anambra,State level data,Oct,2020
Yellow Fever given,13650,Bauchi,State level data,Nov,2020
Yellow Fever given,19290,Bauchi,State level data,Dec,2020
Yellow Fever given,7401,Bauchi,State level data,Oct,2020
Yellow Fever given,20392,Oyo,State level data,Nov,2020
Yellow Fever given,22619,Oyo,State level data,Oct,2020
Yellow Fever given,16837,Oyo,State level data,Dec,2020
Yellow Fever given,14764,Oyo,State level data,Aug,2020
Yellow Fever given,88,Oyo,State level data,Jul,2020
Yellow Fever given,47,Oyo,State level data,Jun,2020
Yellow Fever given,19152,Oyo,State level data,Sep,2020
Yellow Fever given,45391,Kano,State level data,Dec,2020
Yellow Fever given,39500,Kano,State level data,Oct,2020
Yellow Fever given,39359,Kano,State level data,Nov,2020
Yellow Fever given,19,Kano,State level data,Jul,2020
Yellow Fever given,1757,Kano,State level data,Aug,2020
Yellow Fever given,36659,Kano,State level data,Sep,2020
Yellow Fever given,464,Borno,State level data,Jul,2020
Yellow Fever given,169,Borno,State level data,Aug,2020
Yellow Fever given,1689,Borno,State level data,Sep,2020
Yellow Fever given,5466,Borno,State level data,Oct,2020
Yellow Fever given,13678,Borno,State level data,Nov,2020
Yellow Fever given,16239,Borno,State level data,Dec,2020
Yellow Fever given,10,Kwara,State level data,Jun,2020
Yellow Fever given,896,Kwara,State level data,Jul,2020
Yellow Fever given,6896,Kwara,State level data,Aug,2020
Yellow Fever given,8269,Kwara,State level data,Sep,2020
Yellow Fever given,11283,Kwara,State level data,Dec,2020
Yellow Fever given,9523,Kwara,State level data,Oct,2020
Yellow Fever given,9238,Kwara,State level data,Nov,2020
Yellow Fever given,540,Imo,State level data,Jul,2020
Yellow Fever given,82,Imo,State level data,Aug,2020
Yellow Fever given,13769,Imo,State level data,Sep,2020
Yellow Fever given,14382,Imo,State level data,Oct,2020
Yellow Fever given,14444,Imo,State level data,Nov,2020
Yellow Fever given,13438,Imo,State level data,Dec,2020
