Indicator,Year,Values,State,LGA,Months
Yellow Fever Coverage,2020,25,Anambra,State level data,NA
Yellow Fever Coverage,2020,39.6,Adamawa,State level data,NA
Yellow Fever Coverage,2020,15.7,Bauchi,State level data,NA
Yellow Fever Coverage,2020,14.2,Borno,State level data,NA
Yellow Fever Coverage,2020,0.01,Bayelsa,State level data,NA
Yellow Fever Coverage,2020,0.01,Cross River,State level data,NA
Yellow Fever Coverage,2020,43.2,Delta,State level data,NA
Yellow Fever Coverage,2020,2.6,Edo,State level data,NA
Yellow Fever Coverage,2020,0.18,Enugu,State level data,NA
Yellow Fever Coverage,2020,17.4,Federal Capital Territory,State level data,NA
Yellow Fever Coverage,2020,22,Gombe,State level data,NA
Yellow Fever Coverage,2020,23.1,Imo,State level data,NA
Yellow Fever Coverage,2020,33.3,Jigawa,State level data,NA
Yellow Fever Coverage,2020,39.1,Kaduna,State level data,NA
Yellow Fever Coverage,2020,27.4,Kano,State level data,NA
Yellow Fever Coverage,2020,24.9,Katsina,State level data,NA
Yellow Fever Coverage,2020,32.1,Kwara,State level data,NA
Yellow Fever Coverage,2020,0.01,Lagos,State level data,NA
Yellow Fever Coverage,2020,40.8,Nasarawa,State level data,NA
Yellow Fever Coverage,2020,15.3,Federal Government,State level data,NA
Yellow Fever Coverage,2020,29.4,Niger,State level data,NA
Yellow Fever Coverage,2020,27.5,Osun,State level data,NA
Yellow Fever Coverage,2020,26,Oyo,State level data,NA
Yellow Fever Coverage,2020,0.21,Plateau,State level data,NA
Yellow Fever Coverage,2020,19.3,Taraba,State level data,NA
Yellow Fever Coverage,2020,37.5,Yobe,State level data,NA
Yellow Fever Coverage,2020,43,Adamawa,Demsa,NA
Yellow Fever Coverage,2020,45.4,Adamawa,Fufore,NA
Yellow Fever Coverage,2020,41.3,Adamawa,Ganye,NA
Yellow Fever Coverage,2020,29.1,Adamawa,Girei,NA
Yellow Fever Coverage,2020,52.2,Adamawa,Gombi,NA
Yellow Fever Coverage,2020,32.6,Adamawa,Guyuk,NA
Yellow Fever Coverage,2020,46.4,Adamawa,Hong,NA
Yellow Fever Coverage,2020,47.4,Adamawa,Jada,NA
Yellow Fever Coverage,2020,46.8,Adamawa,Lamurde,NA
Yellow Fever Coverage,2020,28.1,Adamawa,Madagali,NA
Yellow Fever Coverage,2020,45.5,Adamawa,Maiha,NA
Yellow Fever Coverage,2020,39.9,Adamawa,Mayo-Belwa,NA
Yellow Fever Coverage,2020,46.3,Adamawa,Michika,NA
Yellow Fever Coverage,2020,39.2,Adamawa,Mubi North,NA
Yellow Fever Coverage,2020,26.3,Adamawa,Mubi South,NA
Yellow Fever Coverage,2020,11.6,Adamawa,Numan,NA
Yellow Fever Coverage,2020,39.8,Adamawa,Shelleng,NA
Yellow Fever Coverage,2020,36.6,Adamawa,Song,NA
Yellow Fever Coverage,2020,81.6,Adamawa,Toungo,NA
Yellow Fever Coverage,2020,32,Adamawa,Yola North,NA
Yellow Fever Coverage,2020,35.8,Adamawa,Yola South,NA
Yellow Fever Coverage,2020,23.1,Anambra,Aguata,NA
Yellow Fever Coverage,2020,30.4,Anambra,Anambra East,NA
Yellow Fever Coverage,2020,8.8,Anambra,Anambra West,NA
Yellow Fever Coverage,2020,21.1,Anambra,Anaocha,NA
Yellow Fever Coverage,2020,16.6,Anambra,Awka North,NA
Yellow Fever Coverage,2020,25.6,Anambra,Awka South,NA
Yellow Fever Coverage,2020,22.5,Anambra,Ayamelum,NA
Yellow Fever Coverage,2020,16.9,Anambra,Dunukofia,NA
Yellow Fever Coverage,2020,25.8,Anambra,Ekwusigo,NA
Yellow Fever Coverage,2020,30.5,Anambra,Idemili North,NA
Yellow Fever Coverage,2020,29.1,Anambra,Idemili South,NA
Yellow Fever Coverage,2020,44.1,Anambra,Ihiala,NA
Yellow Fever Coverage,2020,17.5,Anambra,Njikoka,NA
Yellow Fever Coverage,2020,23.5,Anambra,Nnewi North,NA
Yellow Fever Coverage,2020,45.9,Anambra,Nnewi South,NA
Yellow Fever Coverage,2020,16.2,Anambra,Ogbaru,NA
Yellow Fever Coverage,2020,24.5,Anambra,Onitsha North,NA
Yellow Fever Coverage,2020,26.5,Anambra,Onitsha South,NA
Yellow Fever Coverage,2020,15,Anambra,Orumba North,NA
Yellow Fever Coverage,2020,18.5,Anambra,Orumba South,NA
Yellow Fever Coverage,2020,21,Anambra,Oyi,NA
Yellow Fever Coverage,2020,17.2,Bauchi,Alkaleri,NA
Yellow Fever Coverage,2020,10.4,Bauchi,Bauchi,NA
Yellow Fever Coverage,2020,22.3,Bauchi,Bogoro,NA
Yellow Fever Coverage,2020,18.6,Bauchi,Dambam,NA
Yellow Fever Coverage,2020,13.6,Bauchi,Darazo,NA
Yellow Fever Coverage,2020,22.5,Bauchi,Dass,NA
Yellow Fever Coverage,2020,12.1,Bauchi,Gamawa,NA
Yellow Fever Coverage,2020,18.5,Bauchi,Ganjuwa,NA
Yellow Fever Coverage,2020,18,Bauchi,Giade,NA
Yellow Fever Coverage,2020,9.8,Bauchi,Itas/Gadau,NA
Yellow Fever Coverage,2020,18.6,Bauchi,Jama'are,NA
Yellow Fever Coverage,2020,15.6,Bauchi,Katagum,NA
Yellow Fever Coverage,2020,11.2,Bauchi,Kirfi,NA
Yellow Fever Coverage,2020,9.9,Bauchi,Misau,NA
Yellow Fever Coverage,2020,11.9,Bauchi,Ningi,NA
Yellow Fever Coverage,2020,20.1,Bauchi,Shira,NA
Yellow Fever Coverage,2020,19,Bauchi,Tafawa-Balewa,NA
Yellow Fever Coverage,2020,20.7,Bauchi,Toro,NA
Yellow Fever Coverage,2020,20.7,Bauchi,Warji,NA
Yellow Fever Coverage,2020,25,Bauchi,Zaki,NA
Yellow Fever Coverage,2020,27.8,Borno,Askira/Uba,NA
Yellow Fever Coverage,2020,9.8,Borno,Bama,NA
Yellow Fever Coverage,2020,29.6,Borno,Bayo,NA
Yellow Fever Coverage,2020,37.9,Borno,Biu,NA
Yellow Fever Coverage,2020,30.8,Borno,Chibok,NA
Yellow Fever Coverage,2020,9.2,Borno,Damboa,NA
Yellow Fever Coverage,2020,16.5,Borno,Dikwa,NA
Yellow Fever Coverage,2020,2.9,Borno,Gubio,NA
Yellow Fever Coverage,2020,11.3,Borno,Gwoza,NA
Yellow Fever Coverage,2020,25.5,Borno,Hawul,NA
Yellow Fever Coverage,2020,17.9,Borno,Jere,NA
Yellow Fever Coverage,2020,9.7,Borno,Kaga,NA
Yellow Fever Coverage,2020,12.3,Borno,Kala/Balge,NA
Yellow Fever Coverage,2020,24.7,Borno,Konduga,NA
Yellow Fever Coverage,2020,21.2,Borno,Kwaya Kusar,NA
Yellow Fever Coverage,2020,25.6,Borno,Mafa,NA
Yellow Fever Coverage,2020,8.3,Borno,Magumeri,NA
Yellow Fever Coverage,2020,9.9,Borno,Maiduguri,NA
Yellow Fever Coverage,2020,47.5,Borno,Monguno,NA
Yellow Fever Coverage,2020,9.9,Borno,Ngala,NA
Yellow Fever Coverage,2020,13.3,Borno,Nganzai,NA
Yellow Fever Coverage,2020,24.6,Borno,Shani,NA
Yellow Fever Coverage,2020,0.07,Bayelsa,Sagbama,NA
Yellow Fever Coverage,2020,0.05,Cross River,Boki,NA
Yellow Fever Coverage,2020,0.14,Cross River,Obanliku,NA
Yellow Fever Coverage,2020,40,Delta,Aniocha North,NA
Yellow Fever Coverage,2020,25.5,Delta,Aniocha South,NA
Yellow Fever Coverage,2020,53.1,Delta,Bomadi,NA
Yellow Fever Coverage,2020,296.4,Delta,Burutu,NA
