Indicator,Values,State,LGA,Months,Year
Yellow Fever Coverage,0.14,Delta,State level data,Jun,2020
Yellow Fever Coverage,0.08,Kwara,State level data,Jun,2020
Yellow Fever Coverage,0.01,Federal Government,State level data,Jun,2020
Yellow Fever Coverage,0.16,Oyo,State level data,Jun,2020
Yellow Fever Coverage,0.3,Anambra,State level data,Jul,2020
Yellow Fever Coverage,4.2,Adamawa,State level data,Jul,2020
Yellow Fever Coverage,2.1,Borno,State level data,Jul,2020
Yellow Fever Coverage,0.46,Delta,State level data,Jul,2020
Yellow Fever Coverage,2.6,Imo,State level data,Jul,2020
Yellow Fever Coverage,1.3,Kaduna,State level data,Jul,2020
Yellow Fever Coverage,0.04,Kano,State level data,Jul,2020
Yellow Fever Coverage,7.4,Kwara,State level data,Jul,2020
Yellow Fever Coverage,19.2,Nasarawa,State level data,Jul,2020
Yellow Fever Coverage,1.5,Federal Government,State level data,Jul,2020
Yellow Fever Coverage,30.8,Osun,State level data,Jul,2020
Yellow Fever Coverage,0.29,Oyo,State level data,Jul,2020
Yellow Fever Coverage,0.45,Yobe,State level data,Jul,2020
Yellow Fever Coverage,0.03,Anambra,State level data,Aug,2020
Yellow Fever Coverage,75.6,Adamawa,State level data,Aug,2020
Yellow Fever Coverage,0.06,Bauchi,State level data,Aug,2020
Yellow Fever Coverage,0.75,Borno,State level data,Aug,2020
Yellow Fever Coverage,56.5,Delta,State level data,Aug,2020
Yellow Fever Coverage,0.39,Imo,State level data,Aug,2020
Yellow Fever Coverage,70.6,Kaduna,State level data,Aug,2020
Yellow Fever Coverage,3.5,Kano,State level data,Aug,2020
Yellow Fever Coverage,56.6,Kwara,State level data,Aug,2020
Yellow Fever Coverage,54.7,Nasarawa,State level data,Aug,2020
Yellow Fever Coverage,12.6,Federal Government,State level data,Aug,2020
Yellow Fever Coverage,0.25,Niger,State level data,Aug,2020
Yellow Fever Coverage,49.4,Osun,State level data,Aug,2020
Yellow Fever Coverage,48.3,Oyo,State level data,Aug,2020
Yellow Fever Coverage,61.8,Yobe,State level data,Aug,2020
Yellow Fever Coverage,64.3,Anambra,State level data,Sep,2020
Yellow Fever Coverage,94.5,Adamawa,State level data,Sep,2020
Yellow Fever Coverage,27.6,Bauchi,State level data,Sep,2020
Yellow Fever Coverage,7.7,Borno,State level data,Sep,2020
Yellow Fever Coverage,71.6,Delta,State level data,Sep,2020
Yellow Fever Coverage,4.4,Federal Capital Territory,State level data,Sep,2020
Yellow Fever Coverage,0.38,Gombe,State level data,Sep,2020
Yellow Fever Coverage,68.5,Imo,State level data,Sep,2020
Yellow Fever Coverage,95.8,Jigawa,State level data,Sep,2020
Yellow Fever Coverage,84.5,Kaduna,State level data,Sep,2020
Yellow Fever Coverage,75.4,Kano,State level data,Sep,2020
Yellow Fever Coverage,0.14,Katsina,State level data,Sep,2020
Yellow Fever Coverage,70.1,Kwara,State level data,Sep,2020
Yellow Fever Coverage,0.08,Lagos,State level data,Sep,2020
Yellow Fever Coverage,116.9,Nasarawa,State level data,Sep,2020
Yellow Fever Coverage,31.6,Federal Government,State level data,Sep,2020
Yellow Fever Coverage,64.6,Niger,State level data,Sep,2020
Yellow Fever Coverage,56,Osun,State level data,Sep,2020
Yellow Fever Coverage,64.8,Oyo,State level data,Sep,2020
Yellow Fever Coverage,18.9,Taraba,State level data,Sep,2020
Yellow Fever Coverage,100.1,Yobe,State level data,Sep,2020
Yellow Fever Coverage,64,Anambra,State level data,Oct,2020
Yellow Fever Coverage,89.8,Adamawa,State level data,Oct,2020
Yellow Fever Coverage,29.2,Bauchi,State level data,Oct,2020
Yellow Fever Coverage,24.3,Borno,State level data,Oct,2020
Yellow Fever Coverage,69.5,Delta,State level data,Oct,2020
Yellow Fever Coverage,11.8,Federal Capital Territory,State level data,Oct,2020
Yellow Fever Coverage,65.6,Gombe,State level data,Oct,2020
Yellow Fever Coverage,69.2,Imo,State level data,Oct,2020
Yellow Fever Coverage,99.1,Jigawa,State level data,Oct,2020
Yellow Fever Coverage,98.9,Kaduna,State level data,Oct,2020
Yellow Fever Coverage,78.6,Kano,State level data,Oct,2020
Yellow Fever Coverage,92,Katsina,State level data,Oct,2020
Yellow Fever Coverage,78.2,Kwara,State level data,Oct,2020
Yellow Fever Coverage,94.3,Nasarawa,State level data,Oct,2020
Yellow Fever Coverage,38.6,Federal Government,State level data,Oct,2020
Yellow Fever Coverage,69.7,Niger,State level data,Oct,2020
Yellow Fever Coverage,52.2,Osun,State level data,Oct,2020
Yellow Fever Coverage,74,Oyo,State level data,Oct,2020
Yellow Fever Coverage,50.3,Taraba,State level data,Oct,2020
Yellow Fever Coverage,96.1,Yobe,State level data,Oct,2020
Yellow Fever Coverage,96.9,Anambra,State level data,Nov,2020
Yellow Fever Coverage,88.1,Adamawa,State level data,Nov,2020
Yellow Fever Coverage,55.6,Bauchi,State level data,Nov,2020
Yellow Fever Coverage,62.8,Borno,State level data,Nov,2020
Yellow Fever Coverage,0.06,Cross River,State level data,Nov,2020
Yellow Fever Coverage,64.5,Delta,State level data,Nov,2020
Yellow Fever Coverage,0.34,Edo,State level data,Nov,2020
Yellow Fever Coverage,0.59,Enugu,State level data,Nov,2020
Yellow Fever Coverage,73.9,Federal Capital Territory,State level data,Nov,2020
Yellow Fever Coverage,81,Gombe,State level data,Nov,2020
Yellow Fever Coverage,71.8,Imo,State level data,Nov,2020
Yellow Fever Coverage,89.2,Jigawa,State level data,Nov,2020
Yellow Fever Coverage,94.4,Kaduna,State level data,Nov,2020
Yellow Fever Coverage,81,Kano,State level data,Nov,2020
Yellow Fever Coverage,93.8,Katsina,State level data,Nov,2020
Yellow Fever Coverage,78.3,Kwara,State level data,Nov,2020
Yellow Fever Coverage,80.9,Nasarawa,State level data,Nov,2020
Yellow Fever Coverage,43.6,Federal Government,State level data,Nov,2020
Yellow Fever Coverage,100.3,Niger,State level data,Nov,2020
Yellow Fever Coverage,90.4,Osun,State level data,Nov,2020
